lemma,rank,translation,original_lemma,pos
mando,1745,Authority that has someone to give orders to other individuals or groups,mando,n
actividades,1746,Form of the activity plural,actividad,n
iban,1747,"Third person of the plural (they, them; you, 2nd person) of the imperfect preterite of indicative of going or leaving",ir,v
fantástico,1748,"Chimeric, pretended, has no reality, and consists only of imagination",fantástico,adj
bajar,1749,Go to a lower place than the initial,bajar,v
práctica,1750,Frequent exercise of an activity following its rules,práctica,n
tranquila,1751,Form of the female in quiet,tranquilo,adj
tengan,1752,"Third person of plural (they, them; you, 2nd person) of the present subjunctive of having or having",tener,v
gana,1753,"Desire, appetite, natural will of something",gana,n
luchar,1754,"Compete physically, seeking death or submission of the opponent",luchar,v
ayudarme,1755,,,
dama,1756,"A noble, gallant or distinguished woman",dama,n
cien,1757,Sign or signs used to represent the number that has a hundred units,cien,n
pérdida,1758,Deprivation of what was lost,pérdida,n
antiguo,1759,That exists for a relatively long period of time,antiguo,adj
autoridades,1760,Form of the plural of authority,autoridad,n
llevan,1761,"Third person plural (they, them; you, 2nd person) of the present indicative of carrying or taking",llevar,v
gato,1762,"(Felis catus) Carnivorous animal of the feline family, domesticated as a pet from at least 3500 BC",gato,n
exterior,1763,Which belongs to the external part or aspect of something. Formed as an irregular comparative grade of this adjective,exterior,adj
evidencia,1764,"Clear, undoubted and manifest assurance; In law",evidencia,n
elementos,1765,Weather Inclenities: Climate aspects considered adverse at a given time,elementos,n
directo,1766,Live transmission,directo,n
medidas,1767,Form of the measurement plural,medida,n
actuar,1768,"Get into business, get into operation",actuar,v
cuántas,1769,,,
washington,1770,,,
caminar,1771,Being on the road,caminar,v
recién,1772,Recently,recién,adv
quiénes,1773,Form of the plural of who,quién,pron
ridículo,1774,"Hand bag hanging on a pair of laces, which women used to wear the handkerchief and other small objects",ridículo,n
embarazada,1775,Form of the female singular pregnant,embarazado,adj
declaración,1776,Action or effect of declaring or declaring,declaración,n
historias,1777,Second person of the singular (you) of the present as an indicative of historian,historiar,v
cansado,1778,I'm getting tired,cansado,v
ésa,1779,"Obsolete graffiti of that, feminine of that2 (pronoun or adjective to indicate something or someone who is a little far from the speaker)",ésa,unknown
partidos,1780,Form of the plural party,partido,n
damas,1781,Form of the plural lady,dama,n
construcción,1782,Action and effect of building,construcción,n
dura,1783,"Third person of the singular (he, she, it; you, 2nd person) of the present indicative of lasting",durar,v
habías,1784,"Second person of the singular (you, you) of the imperfect preterite of indicative of having",haber,v
comienzo,1785,Root and origin of something; time or place where something begins,comienzo,n
corriendo,1786,Gerundium of running,corriendo,v
sentí,1787,First person of the singular (me) of the perfect preterit simple indicative of feeling,sentir,v
déjalo,1788,,,
héroe,1789,"Person who performs deeds or deeds of courage, virtue or outstanding ability to face danger or adversity for the good of others",héroe,n
jardín,1790,"Green space dedicated to recreation, planted with ornamentals and decorated sometimes with other elements, such as statues or lakes",jardín,n
muere,1791,"Third person of the singular (he, she, it; you, 2nd person) of the present indicative of dying or dying",morir,v
nervioso,1792,"Insecure, insecure, frightened",nervioso,adj
desea,1793,"Third person of the singular (he, she, it; you, 2nd person) of the present indicative of desire",desear,v
conseguido,1794,Participation in obtaining or obtaining,conseguido,v
preocupado,1795,"Absorbed, distracted, obfuscated",preocupado,adj
autor,1796,A person who creates something and in particular a work of literature or art,autor,n
richard,1797,,,
pintura,1798,Art that deals with the technique of painting,pintura,n
p,1799,,,
inglaterra,1800,,,
república,1801,"Form of government characterized by political organization based on the principle that the right-to-vote citizens, the electorate, are the ultimate root of legitimacy and sovereignty",república,n
asiento,1802,Action and effect of settling or settling,asiento,n
cuadro,1803,Canvas or table painted artistically,cuadro,n
extraña,1804,"Third person of the singular (he, she, it; you, 2nd person) of the present indicative of surprise or of being missed",extrañar,v
come,1805,"Third person of the singular (he, she, it; you, 2nd person) of the present indicative of eating",comer,v
china,1806,"Very fine, hard and translucent pottery material, originally made in China",china,n
últimas,1807,Form of the female plural of last,último,adj
llorar,1808,Drain tears,llorar,v
garcía,1809,,,
perfectamente,1810,All right,perfectamente,adv
tarea,1811,Action or effect of work,tarea,n
manuel,1812,,,
dispuesto,1813,Irregular participation in or disposition of,dispuesto,v
conocía,1814,First person of the singular (me) of the imperfect preterite of indicative of knowing,conocer,v
preguntar,1815,"Request information, ask questions",preguntar,v
gay,1816,"Who feels sexual attraction to people of his biological sex, especially a man",gay,adj
paseo,1817,Walking action,paseo,n
imágenes,1818,Image plural shape,imagen,n
realizar,1819,"Carry out a work, task, action or objective",realizar,v
taxi,1820,"Rental vehicle contracted with your driver for short urban journeys, paying for the journey according to the distance at a rate indicated by an ad hoc device",taxi,n
habló,1821,"Third person of the singular (he, she, it; you, 2nd person) of the perfect preterit simple indicative of speaking or speaking",hablar,v
robert,1822,,,
humor,1823,"Liquid within the body of an animal or plant, which has a specific biological function",humor,n
estudiantes,1824,Form of the plural student,estudiante,adj
llaves,1825,Key plural shape,llave,n
debió,1826,"Third person of the singular (he, she, it; you, 2nd person) of the perfect preterit simple of indicative of duty",deber,v
hayan,1827,Substandard beech variant,hayan,v
malas,1828,Form of the plural female of bad or bad,malo,adj
saliendo,1829,Gerundius of leaving,saliendo,v
roma,1830,That has no tip or edge,roma,adj
entró,1831,"Third person of the singular (he, she, it; you, 2nd person) of the perfect preterit simple indicative of entering",entrar,v
carretera,1832,"Route of domain and public use, designed and constructed primarily for the circulation of vehicles",carretera,n
fuese,1833,First person of the singular (me) of the imperfect subjunctive preterit to go or to go,ir,v
amenaza,1834,Threatening action or effect,amenaza,n
trampa,1835,Device or mechanism used to trap animals,trampa,n
huevos,1836,"I pawn, I eagerly, I persevere (from a man)",huevos,n
camión,1837,"Vehicle of four or more wheels, with a front cab and an open or closed rear space, for carrying large loads",camión,n
leyes,1838,Form of the plural of law,ley,n
suficientemente,1839,Pretty much,suficientemente,adv
preguntó,1840,"Third person of the singular (he, she, it; you, 2nd person) of the perfect preterit simple indicative of asking",preguntar,v
oficiales,1841,Form of the plural of officer,oficial,adj
vuestro,1842,"Second-person possessive pronoun, whose grammatical nature is identical to that of ""our"" first-person. It also refers in its four forms",vuestro,pron
veinte,1843,Sign or signs used to represent the number that has twenty units,veinte,n
fbi,1844,,,
prefiero,1845,First person of the singular (me) of the present indicative of preferring,preferir,v
oscuro,1846,Darkening of the stage for dramatic effects,oscuro,n
encontraron,1847,"Third person of plural (they, them; you, 2nd person) of the perfect preterit simple indicative of finding or meeting",encontrar,v
trabajos,1848,Work plural form,trabajo,n
volverá,1849,"Third person of the singular (he, she, it; you, 2nd person) of the future indicative of returning or becoming",volver,v
veía,1850,First person of the singular (me) of the imperfect preterite indicative of seeing or seeing,ver,v
resolver,1851,Dealing with a doubt or problem,resolver,v
herido,1852,Participated in wounding,herido,v
llegamos,1853,"First person of plural (we, us) of the present indicative of arriving or arriving",llegar,v
palacio,1854,"Large and luxurious building used as residence of kings, nobles or other characters",palacio,n
hielo,1855,Solid water state,hielo,n
jane,1856,,,
emergencia,1857,"Occurrence, accident that happens",emergencia,n
estupendo,1858,"Amazing, amazing, famous, amazing",estupendo,adj
llamadas,1859,"Form of the plural female call, participle call or call",llamado,participle
venta,1860,"Share or effect of selling, delivering an asset by transferring the property in exchange for an agreed price",venta,n
máximo,1861,Upper or extreme limit to which a thing can reach,máximo,n
tiro,1862,"Act of shooting, shooting action",tiro,n
gustaba,1863,First person of the singular (me) of the imperfect preterite of indication of taste,gustar,v
vía,1864,"Road, place destined for the transit of people or things",vía,n
descanso,1865,"Time, circumstance or state of work or tiredness, fatigue or tension",descanso,n
ocurrido,1866,Participation in the event,ocurrido,v
botella,1867,"Container for liquids, flat bottom to support it, conical or elongated body and narrows towards the tip, area called neck, and ends",botella,n
tecnología,1868,"Application of science knowledge, methods or tools for practical purposes such as industry, commerce, medicine, etc",tecnología,n
entrevista,1869,"Formal meeting or meeting between two or more people, to evaluate the attitudes or abilities of one of them, to know one or more opinions, to obtain information",entrevista,n
trago,1870,Amount or portion of a liquid that can be drunk at once,trago,n
ángel,1871,Being mythological represented by a figure similar to a human being but possessing wings attached to his back and dressed in shining clothing,ángel,n
internet,1872,"Large decentralized computer network, global and publicly accessible, providing a huge amount of communication services of various types, including the World Wide Web, email and many others",internet,n
explicar,1873,"Declare, expose a person what he thinks",explicar,v
pequeñas,1874,Form of the female plural of small,pequeño,adj
producto,1875,Something produced or that is the result of a job or effort,producto,n
mayo,1876,"According to the calendars Julian and Gregorian, fifth month of the year",mayo,n
expresión,1877,"Action and result of expressing or expressing, showing or manifesting with attitudes, gestures, words, signs, etc",expresión,n
cantar,1878,"Using the voice to emit melodious sound, can be uttering words",cantar,v
marco,1879,"Piece used to surround or gird something, like a painting",marco,n
texto,1880,"Registration, especially if written, of a statement or a series of statements",texto,n
nariz,1881,Organ of the face of the human being used to smell and breathe,nariz,n
averiguar,1882,"Ask, explore, or investigate to discover the truth about a matter",averiguar,v
sujeto,1883,Part of the sentence specifying the actor who executes the action described by the verb,sujeto,n
volar,1884,Moving through air held by wings,volar,v
ritmo,1885,A regular tap or sound,ritmo,n
condición,1886,Circumstance necessary and indispensable for another to occur,condición,n
anillo,1887,"Hoop of any metal, which is worn like a jewel around a finger",anillo,n
caballos,1888,Shape of the horse plural,caballo,n
bienvenida,1889,Greeting expressing the pleasure of the arrival of some,bienvenida,n
felices,1890,Form of the plural of happy,feliz,adj
pocas,1891,Form of the feminine plural of little,poco,adj
perfecta,1892,Form of the female perfect,perfecto,adj
barrio,1893,Part where a population or district is divided,barrio,n
encuentran,1894,"Third person of plural (they, them; you, 2nd person) of the present indicative of finding or meeting",encontrar,v
cruz,1895,Figure formed by two perpendicular lines or bars,cruz,n
pecho,1896,"Part of the vertebrate body that extends from the neck to the lower edge of the ribs, where it leaves room for the belly; inside there are",pecho,n
pasará,1897,"Third person of the singular (he, she, it; you, 2nd person) of the future indicative of passing",pasar,v
cuesta,1898,Slope land,cuesta,n
estarán,1899,"Third person of plural (they, them; you, 2nd person) of the future indicative of being or being",estar,v
región,1900,Great administrative division of a nation,región,n
revolución,1901,Overthrowing and complete replacement of the rule or the established political system by the governed people,revolución,n
desastre,1902,"Big info, unfortunate and deplorable event",desastre,n
oiga,1903,First person of the singular (me) of the present subjunctive of hearing,oír,v
firma,1904,Action or effect of signing or signing,firma,n
planta,1905,"Lower part of the foot, which when walking is in contact with the ground",planta,n
familias,1906,Form of the family plural,familia,n
dejas,1907,Second person of the singular (you) of the present indicative to stop or to leave,dejar,v
cuerpos,1908,Body plural shape,cuerpo,n
solos,1909,Form of the plural of only,solo,n
cerrar,1910,Place or modify something to avoid opening it,cerrar,v
echar,1911,Drive or push something somewhere,echar,v
cabello,1912,Each hair that grows on the head,cabello,n
original,1913,Which belongs to or is related to the origin or beginning of something,original,adj
pierna,1914,"Lower limbs of humans and later members of other terrestrial vertebrates, which are inserted into the hip and used for locomotion",pierna,n
roja,1915,Red card,roja,n
vendrá,1916,"Third person of the singular (he, she, it; you, 2nd person) of the future indicative of coming or coming",venir,v
coger,1917,Approaching hands to something to hold him,coger,v
termina,1918,"Third person of the singular (he, she, it; you, 2nd person) of the present indicative of ending or ending",terminar,v
vergüenza,1919,"Feeling of dismay caused by guilt, humiliation or dishonor",vergüenza,n
alcohol,1920,Any saturated or alkane hydrocarbons containing a hydroxyl group (-OH) in place of a covalently bound hydrogen atom,alcohol,n
estructura,1921,Distribution and interrelation of the different parts that make up an object or idea,estructura,n
materia,1922,"One of the basic states of the substance of the universe, characterized by occupying volume and possessing mass",materia,n
ayúdame,1923,,,
claramente,1924,Understandably and clearly,claramente,adv
principios,1925,Set of pages and sections preceding the main text of a book,principios,n
polvo,1926,"Any solid substance, especially soil, reduced to very fine-diameter granules",polvo,n
nación,1927,"Community of people sharing a cultural, ethnic or historical legacy",nación,n
altura,1928,"Vertical distance of a point to the base, vertical length",altura,n
hiciera,1929,First person of the singular (me) of the imperfect subjunctive preterit to do or to become,hacer,v
oeste,1930,"The cardinal point of the horizon, where the sun falls in the days of equinox, conventionally located to the left of the maps, 270°",oeste,n
continuar,1931,"Stay, keep attitude, situation, action",continuar,v
yendo,1932,Gerundius irregular to go,yendo,v
intereses,1933,Second person of the singular (you) of the present subjunctive of interest or interest,interesar,v
felicidad,1934,"Joy, joy",felicidad,n
vecinos,1935,Neighbor plural shape,vecino,adj
valores,1936,Second person of the singular (you) of the present subjunctive of valuing or valuing,valorar,v
formación,1937,Sorting in space of a set of similar objects,formación,n
locos,1938,Form of the plural of mad,loco,n
convertido,1939,Joined in converting,convertido,v
cuento,1940,"Narration of a fictitious, true fact or a mixture of both",cuento,n
llame,1941,First person of the singular (me) of the present subjunctive of calling or calling,llamar,v
alemania,1942,,,
equipos,1943,Form of the plural of equipment,equipo,n
aparte,1944,"What any of the characters in the performance say, assuming that the others do not hear him",aparte,n
españoles,1945,Form of the plural male Spanish,español,n
papeles,1946,Form of the plural of paper,papel,n
huellas,1947,Second person of the singular (you) of the present sign of howling,hollar,v
mismas,1948,Form of the plural female of the same,mismo,adj
crédito,1949,Debt that some have in their favor,crédito,n
dueño,1950,Person who owns or controls something,dueño,n
plata,1951,Money,plata,n
hacerse,1952,"Become, obtain certain status by study or through a process",hacerse,v
pensó,1953,"Third person of the singular (he, she, it; you, 2nd person) of the perfect preterit simple of thought indicative",pensar,v
oscuridad,1954,Lack of clarity or light that makes things more visible,oscuridad,n
tratado,1955,Participle of the verb treat,tratado,v
robo,1956,Effect and act of stealing,robo,n
elegir,1957,Prefering one thing or another person to an end,elegir,v
encantaría,1958,First person of the singular (me) conditional to charm or charm,encantar,v
encantado,1959,I was in love with him,encantado,v
seguros,1960,Form of the insurance plural,seguro,n
cuchillo,1961,"Cutting Utensil formed by a handle and a blade with edge, usually of metal",cuchillo,n
nosotras,1962,Nominative and dative female personal pronoun for the first person in the plural,nosotras,pron
junta,1963,Meeting of a group of people to discuss a topic,junta,n
comenzar,1964,Start an action,comenzar,v
roto,1965,Irregular breaking participation,roto,v
coño,1966,"Internal and external genitals, i.e., vagina and vulva of the woman",coño,n
presenta,1967,"Third person of the singular (he, she, it; you, 2nd person) of the present indicative of presenting or presenting",presentar,v
verá,1968,"Third person of the singular (he, she, it; you, 2nd person) of the future indicative of seeing or seeing",ver,v
artista,1969,"Person exercising one of the arts, in any of its manifestations",artista,n
jurado,1970,"Court composed of citizens elected by lot, who decides on the fact and pleads guilty or not guilty",jurado,n
salón,1971,Large room,salón,n
militares,1972,"Second person of the singular (you, you) of the future of military subjunctive2",militar,v
viviendo,1973,Gerundius of living,viviendo,v
temas,1974,Second person of the singular (you) of the present indicative of theor,temar,v
olvidar,1975,Losing memory or memory of something,olvidar,v
colega,1976,Person with whom membership in a profession or work team or organisation is shared,colega,n
industria,1977,Action or effect of work,industria,n
recuerdos,1978,Shape of the plural memory,recuerdo,n
ibas,1979,"Second person of the singular (you, you) of the imperfect preterite of indicative of going or leaving",ir,v
mark,1980,,,
sospechoso,1981,Which gives reason to suspect,sospechoso,adj
cálmate,1982,Second person of the singular (you) of the affirmative imperative to calm down (with the enclitic pronoun),calmarse,v
llevaré,1983,First person of the singular (me) of the future indicative of carrying or taking,llevar,v
pasos,1984,"In some sports, especially basketball and handball, it is missing to take more than three steps with the ball in hand without throwing it",pasos,n
primeras,1985,Form of the female plural of first,primero,adj
plazo,1986,Term or time given to one to answer or satisfy a thing,plazo,n
gas,1987,"Substance with perfect molecular mobility and unlimited expansion property, as opposed to solids and liquids",gas,n
bebe,1988,"A very young human child, her female child is a baby",bebe,n
secretos,1989,Form of the plural of secrecy,secreto,n
vayamos,1990,"First person of plural (we, us) of the present subjunctive of going or leaving",ir,v
sube,1991,"Third person of the singular (he, she, it; you, 2nd person) of the present indicative of going up or up",subir,v
desaparecido,1992,Victim of enforced disappearance,desaparecido,n
técnica,1993,"Specific way to apply certain knowledge (sciences, arts, etc.) through a process and a set of available resources",técnica,n
vengan,1994,"Third person of plural (they, them; you, 2nd person) of the present indicative of revenge or revenge",vengar,v
envió,1995,"Third person of the singular (he, she, it; you, 2nd person) of the perfect preterit simple indicative of sending",enviar,v
arreglar,1996,Modify something to fit a rule,arreglar,v
hagamos,1997,"First person of plural (we, we) of the present of subjunctive of doing or of making",hacer,v
tuvieron,1998,"Third person plural (they, them; you, 2nd person) of the perfect preterit simple indicative of having or having",tener,v
principales,1999,Main plural shape,principal,adj
fuertes,2000,Shape of the plural of strong,fuerte,n
cumplir,2001,Getting to be a certain age,cumplir,v
antigua,2002,Form of the female of ancient,antiguo,adj
terreno,2003,Land area portion,terreno,n
inspector,2004,The one who inspects,inspector,n
corriente,2005,Mass of gas or liquid that has a different movement to the surrounding fluid,corriente,n
propias,2006,Form of the female plural of her own,propio,adj
clave,2007,"Explanation of the agreed signs for writing in figure, or any other than known or usual",clave,n
pide,2008,"Third person of the singular (he, she, it; you, 2nd person) of the present indicative of asking",pedir,v
vengo,2009,First person of the singular (me) of the present indicative of coming or coming,venir,v
dará,2010,"Third person of the singular (he, she, it; you, 2nd person) of the future indicative of giving or giving",dar,v
habido,2011,Participation in the,habido,v
revista,2012,Careful view or examination after an initial and brief examination; second view,revista,n
lograr,2013,"Get the fulfillment of a longing, especially if by self-effort",lograr,v
romper,2014,"Separate into parts or pieces, usually with violence",romper,v
compromiso,2015,"Duty contracted, promise",compromiso,n
corto,2016,First person of the singular (me) of the present indicative of cutting or cutting,cortar,v
dé,2017,First person of the singular (me) of the present subjunctive of giving or giving,dar,v
pareció,2018,"Third person of the singular (he, she, it; you, 2nd person) of the perfect preterit simple indicative of appearance or of appearance",parecer,v
gloria,2019,True Happiness of Man with God,gloria,n
comité,2020,Small group of people dealing with matters on behalf of a larger group,comité,n
pedí,2021,First person of the singular (me) of the perfect preterit simple of prompt to ask,pedir,v
registro,2022,Action or effect of registration,registro,n
puse,2023,First person of the singular (me) of the perfect preterite simple indicative to put,poner,v
políticas,2024,Form of the plural female politician,político,adj
merece,2025,"Third person of the singular (he, she, it; you, 2nd person) of the present indicative of merit or merit",merecer,v
profundo,2026,That has great depth,profundo,adj
comercial,2027,"Advertising spot, in particular radio or television spots",comercial,n
cerrado,2028,Closing participio,cerrado,v
proteger,2029,Safeguarding a person or thing from an event that may cause harm,proteger,v
crecimiento,2030,Action and Effect of Growth,crecimiento,n
inteligencia,2031,"The ability to learn, understand and abstract concepts and then apply them in problem solving",inteligencia,n
aquello,2032,"It refers to something that is far away, in space or time, from the person who speaks and the person with whom you speak",aquello,pron
magia,2033,Technique that seeks to produce supernatural effects through secret rituals or the invocation of spirits,magia,n
económico,2034,Which belongs to or concerns the economy,económico,adj
madera,2035,"Hard fabric, consisting of cellulose fibres embedded in a lignin net, which forms the main part of the trunk and branching of trees under the bark",madera,n
tendrán,2036,"Third person of plural (they, them; you, 2nd person) of the future indicative of having or having",tener,v
herida,2037,"Damage inflicted by cutting, tearing or perforation in a living being",herida,n
conducir,2038,"Take 1, transport 1 [something or someone] from one side to another",conducir,v
lluvia,2039,Set of water drops produced by the condensation of water and precipitating from the sky on earth,lluvia,n
detente,2040,"Second person of the singular (you) of the affirmative imperative to stop (with the pronoun ""te"" enclitica)",detenerse,v
cadena,2041,"Series of objects interwoven one after another, especially metal links",cadena,n
llegaron,2042,"Third person of plural (they, them; you, 2nd person) of the perfect preterit simple indicative of arriving or arriving",llegar,v
sois,2043,"Second person of plural (you, yourselves) of the present indicative of being",ser,v
princesa,2044,"A man's way of expressing himself about his partner, usually his girlfriend or even her friends",princesa,n
sistemas,2045,System plural form,sistema,n
cambia,2046,"Third person of the singular (he, she, it; you, 2nd person) of the present indicative of change",cambiar,v
lenguaje,2047,System for the communication of concepts using spoken or represented sounds with a system of symbols. It is usually structured with grammar and a writing system like an alphabet or,lenguaje,n
gracia,2048,"Predisposition to favor or protect someone, especially without counterpart",gracia,n
show,2049,Show,show,n
dedo,2050,Each of the appendices in which the hand ends,dedo,n
trajo,2051,"Third person of the singular (he, she, it; you, 2nd person) of the perfect preterit simple indicative of bringing or bringing",traer,v
líneas,2052,Form of the plural line,línea,n
normalmente,2053,"Common, usual or regular",normalmente,adv
sabido,2054,Participation in knowing,sabido,v
recuperar,2055,Re-take or collect something that was previously possessed,recuperar,v
completa,2056,"Third person of the singular (he, she, it; you, 2nd person) of the present indicative of completing",completar,v
octubre,2057,"Tenth month of the year according to the Gregorian calendar, between September and November. It lasts thirty-one days",octubre,n
autobús,2058,Vehicle for passengers of high capacity and fixed travel within a city or joining several populations,autobús,n
aumento,2059,First person of the singular (me) of the present indicative increase,aumentar,v
números,2060,Number plural form,número,n
disco,2061,Flat and circular object,disco,n
pensamiento,2062,Power or ability to think,pensamiento,n
circunstancias,2063,Second person of the singular (you) of the present indicative of circumstantial,circunstanciar,v
correo,2064,"Person carrying letters, messages and other shipments",correo,n
programas,2065,Second person of the singular (you) of the present indicative programmer,programar,v
período,2066,Time that spans the entire duration of a thing,período,n
bala,2067,"Solid projectile, normally of metal or stone, used as ammunition",bala,n
negros,2068,Shape of the plural black,negro,n
vacío,2069,"Space that is not occupied by any matter, or that is occupied with gases with a density much lower than the atmospheric density",vacío,n
diciembre,2070,Twelfth and final month of the year in the Gregorian calendar. It lasts thirty-one days. It is the month where Christmas and the end,diciembre,n
propuesta,2071,"Form of the female proposal, irregular participle to propose",propuesto,participle
descubrir,2072,Remove a cover or cover,descubrir,v
montaña,2073,Set of rocks stones and earth forming a large elevation on the ground,montaña,n
llegué,2074,First person of the singular (me) of the perfect preterit simple indicative of arriving,llegar,v
enferma,2075,"Third person of the singular (he, she, it; you, 2nd person) of the present indicative of sickness",enfermar,v
junio,2076,"Sixth month of the year in the Gregorian calendar, between May and July. It lasts thirty days",junio,n
reino,2077,State governed or headed by a king or queen,reino,n
pobres,2078,Form of the plural of poor,pobre,adj
legal,2079,Own or related to the law,legal,adj
siga,2080,First person of the singular (me) of the present subjunctive to follow,seguir,v
aeropuerto,2081,"Defined area of land or water wholly or partly intended for the arrival, departure and surface movement of aircraft",aeropuerto,n
física,2082,"Science that studies the properties and interactions of space, time, matter and energy. Some branches of physics are: acoustics, astronomy, biophysics, thermo",física,n
cáncer,2083,Disease in which cells from various tissues of the body initiate uncontrolled and often rapid proliferation,cáncer,n
alemán,2084,Person originating in Germany,alemán,n
papi,2085,"Father, Dad",papi,n
alegría,2086,Feeling happy that comes about because of something nice,alegría,n
ángeles,2087,Shape of the plural angel,ángel,n
construir,2088,"Build, make a new floor an engineering, architectural or masonry work, like a house or a building",construir,v
hablaba,2089,First person of the singular (me) of the imperfect preterite of indicative of speaking or speaking,hablar,v
olor,2090,"Set of sensations captured by the sense of smell, when the emanations carried by air or by some liquid enter the nose",olor,n
señoría,2091,Treatment of a person in a certain dignity,señoría,n
orgulloso,2092,Who feels pride for something,orgulloso,adj
versión,2093,Translation of any writing or work,versión,n
cuidar,2094,Protect something or someone from damage or wear,cuidar,v
abril,2095,"Fourth month of the year in the Gregorian calendar, between March and May. It consists of 30 days",abril,n
paga,2096,Action or effect to pay,paga,n
dejarlo,2097,,,
mírame,2098,,,
tonterías,2099,Form of the plural of nonsense,tontería,n
ejercicio,2100,Action or effect of exercising or exercising,ejercicio,n
monstruo,2101,Production against the regular order of nature,monstruo,n
creación,2102,Action or effect of creating,creación,n
malos,2103,Form of the plural male of bad or bad,malo,adj
federal,2104,Federal Police Officer,federal,n
llamaba,2105,First person of the singular (me) of the imperfect preterite of call or call sign,llamar,v
enero,2106,First month of the year in the Gregorian calendar,enero,n
quedarte,2107,,,
tardes,2108,Second person of the singular (you) of the present subjunctive of late,tardar,v
supe,2109,First person of the singular (me) of the perfect preterit simple indicative of knowing,saber,v
despacio,2110,Proceeding slowly,despacio,adv
competencia,2111,Rivalty or controversy between two or more people or organisms over some point. E.g. (organisms): These two plants are establishing a,competencia,n
superficie,2112,Measure of bidimial space. Its unit in the International System is the square meter and its symbol is m2,superficie,n
débil,2113,"With little strength, lacking physical strength",débil,adj
rápidamente,2114,"That it's done fast, that it's done in a short time",rápidamente,adv
seres,2115,Form of the plural of being,ser,n
labios,2116,Shape of the plural lip,labio,n
enviado,2117,The one who's on someone else's errand with some message,enviado,n
rayos,2118,Shape of the plural beam,rayo,n
déjeme,2119,,,
debí,2120,First person of the singular (me) of the perfect preterit simple of indicative of duty,deber,v
decisiones,2121,Form of the plural decision,decisión,n
considera,2122,"Third person of the singular (he, she, it; you, 2nd person) of the present indicative to consider",considerar,v
cerdo,2123,"(His homesticus scrofa) Mammal animal, artiodactyl, robust body and thick skin, domesticated from ancient times to",cerdo,n
comportamiento,2124,"A person or animal's saying, manner of behaviour",comportamiento,n
borracho,2125,Alcohol-intoxicated,borracho,adj
identidad,2126,Identical condition (which is equal or similar),identidad,n
argentina,2127,Form of the singular female of Argentine,argentino,adj
martin,2128,,,
estúpida,2129,Form of the female of stupid,estúpido,adj
recibió,2130,"Third person of the singular (he, she, it; you, 2nd person) of the perfect preterit simple indicative of receiving or receiving",recibir,v
asesinado,2131,Murder participant,asesinado,v
participación,2132,The act of participation,participación,n
bella,2133,Form of the female singular of beautiful,bello,adj
tenéis,2134,"Second person of plural (you, yourselves) of the present indicative of having",tener,v
enamorado,2135,I was in love,enamorado,v
entero,2136,Money to settle a transaction,entero,n
pelear,2137,"Hold a fight of two or more participants, especially if there is physical aggression",pelear,v
sombrero,2138,Clothing that protects and adorns the head,sombrero,n
doce,2139,Sign or signs used to represent the number that has twelve units,doce,n
personaje,2140,Individual involved in a literary or fictional work,personaje,n
últimamente,2141,"After all, finally",últimamente,adv
haberte,2142,,,
contó,2143,"Third person of the singular (he, she, it; you, 2nd person) of the perfect preterit simple indicative of counting",contar,v
página,2144,Each of the two sides of a printed sheet,página,n
escribió,2145,"Third person of the singular (he, she, it; you, 2nd person) of the perfect preterit simple indicative of writing or writing",escribir,v
contento,2146,"Joy, satisfaction, joy",contento,n
moral,2147,Discipline studying human acts in relation to the concepts of good and evil,moral,n
parecido,2148,"Common, equal or comparable trait, characteristic or set of characteristics",parecido,n
tv,2149,,,
asociación,2150,The act of association,asociación,n
probable,2151,That can be proved,probable,adj
deber,2152,(followed by the infinitive) Be or be forced to do something,deber,v
éramos,2153,"First person of plural (we, we) of imperfect preterite indicative of being",ser,v
tráfico,2154,"Movement of persons and of suitable vehicles by land, sea or air",tráfico,n
pertenece,2155,"Third person of the singular (he, she, it; you, 2nd person) of the present indicative of belonging",pertenecer,v
oigan,2156,"Third person of the plural (they, them; you, 2nd person) of the present subjunctive of hearing",oír,v
sonrisa,2157,"Action or effect of smiling, a spontaneous contraction of facial muscles expressing pleasure or anxiety",sonrisa,n
estan,2158,,,
tales,2159,Second person of the singular (you) of the present subjunctive of felling,talar,v
pollo,2160,"A young bird specimen, especially of the chicken",pollo,n
ocasiones,2161,Second person of the singular (you) of the present subjunctive to cause,ocasionar,v
ponga,2162,First person of the singular (me) of the present subjunctive of putting or putting,poner,v
consecuencia,2163,Happening or something that immediately results from another,consecuencia,n
espada,2164,"White weapon consisting of a long, sharp and sharp metal blade; garnish and grip",espada,n
trataba,2165,First person of the singular (me) of the imperfect preterite of indicative of treatment,tratar,v
audiencia,2166,Act of hearing authority from those who come to it,audiencia,n
charles,2167,Second person of the singular (you) of the present subjunctive of chatting,charlar,v
cargos,2168,Form of the plural of office,cargo,n
régimen,2169,Political system of government,régimen,n
decidió,2170,"Third person of the singular (he, she, it; you, 2nd person) of the perfect preterit simple indicative of deciding or deciding",decidir,v
venía,2171,First person of the singular (me) of the imperfect preterite indicative of coming or coming,venir,v
necesitar,2172,Having a need for something,necesitar,v
inútil,2173,"What is not useful, is not useful or does not fulfill its function",inútil,adj
errores,2174,Form of the error plural,error,n
examen,2175,Analytical screening that is carried out about the characteristics or circumstances of something,examen,n
fantasma,2176,Unreal vision product of imagination or deception of the senses,fantasma,n
