lemma,rank,translation,original_lemma,pos
interpretaciones,11704,interpretation,interpretación,n
peleado,11705,to fight,pelear,v
templos,11706,temple,templo,n
gasta,11707,expenditure; cost,gastar,v
permitieron,11708,to allow; permit,permitir,v
estatuas,11709,statue,estatua,n
euskadi,11710,synonym of País Vasco: Basque Country,Euskadi,prop
movilidad,11711,mobility,movilidad,n
peón,11712,foot soldier; infantryman,peón,n
quemada,11713,female equivalent of quemado,quemado,adj
reunirme,11714,to satisfy; to meet; to possess,reunir,v
traduce,11715,to translate,traducir,v
ubicada,11716,located; situated,ubicado,adj
cooperativa,11717,cooperative,cooperativa,n
sensato,11718,sensible; reasonable; sound,sensato,adj
sumar,11719,to add,sumar,v
agarre,11720,grip; grasp,agarre,n
magos,11721,magician,mago,n
aduana,11722,customs,aduana,n
culpas,11723,fault,culpa,n
encontrando,11724,to meet,encontrar,v
hayes,11725,hayes,hayes,none
zar,11726,tsar; czar,zar,n
apoyó,11727,support,apoyar,v
lastimarte,11728,to injure,lastimar,v
non,11729,odd,non,adj
ritmos,11730,rhythm,ritmo,n
google,11731,Google,Google,prop
maxwell,11732,maxwell,maxwell,none
algas,11733,alga,alga,n
bajamos,11734,to go down; come down,bajar,v
brote,11735,sprout; bud,brote,n
levantada,11736,lofty,levantado,adj
zamora,11737,Zamora,Zamora,prop
caídos,11738,caid,caer,v
codicia,11739,greed; avarice,codicia,n
cuido,11740,care,cuidar,v
engañarme,11741,to trick; to deceive; to hoodwink; to cheat,engañar,v
rabino,11742,rabbi,rabino,n
reflejan,11743,to reflect,reflejar,v
rápidas,11744,rapid; quick; fast,rápido,adj
creerte,11745,to believe,creer,v
estimular,11746,to stimulate,estimular,v
inmune,11747,immune,inmune,adj
madrileña,11748,Madrilenian,madrileño,adj
abundantes,11749,plentiful; abundant,abundante,adj
indudablemente,11750,indubitably; undoubtedly,indudablemente,adv
irracional,11751,irrational; absurd,irracional,adj
tratará,11752,to treat,tratar,v
zedillo,11753,synonym of zeta,zedillo,none
atajo,11754,a shortcut; cutoff,atajo,n
consultorio,11755,consulting room,consultorio,n
dedican,11756,to dedicate; to spend time,dedicar,v
imprudente,11757,imprudent; ill-advised,imprudente,adj
saltado,11758,prominent,saltar,v
abrirlo,11759,to open; open up,abrir,v
antorcha,11760,torch,antorcha,n
cebollas,11761,onion,cebolla,n
estructurales,11762,structure,estructural,adj
insistencia,11763,insistence,insistencia,n
spa,11764,spa,,
yace,11765,to lie,yacer,v
colgó,11766,to hang,colgar,v
adhesión,11767,adhesion,adhesión,n
crónicas,11768,chronicle,crónica,n
nacieron,11769,to be born; to sprout; to begin to grow,nacer,v
sabrina,11770,given name,Sabrina,prop
seúl,11771,Seoul,Seúl,prop
favorecer,11772,to support,favorecer,v
po,11773,emphatic; well,po,interj
yugoslavia,11774,Yugoslavia,Yugoslavia,prop
consistía,11775,to consist of,consistir,v
formaciones,11776,formation,formación,n
orgánico,11777,organic,orgánico,adj
presentaciones,11778,presentation,presentación,n
cuanta,11779,whatever quantity; as much; however much,cuanto,determiner
extensa,11780,extensive,extenso,adj
faldas,11781,skirt,falda,n
ingresó,11782,entrance; ingress,ingresar,v
pagaría,11783,to pay,pagar,v
paternidad,11784,paternity; fatherhood,paternidad,n
príncipes,11785,first,príncipe,n
famosas,11786,well-known; famous,famoso,adj
hacerlas,11787,to do,hacer,v
procedencia,11788,origin,procedencia,n
traemos,11789,to bring; to fetch,traer,v
establecen,11790,to establish,establecer,v
identidades,11791,identity,identidad,n
pillar,11792,to catch; get; to grab,pillar,v
editores,11793,editor,editor,n
falsificación,11794,counterfeit; fake; falsification; forgery,falsificación,n
separan,11795,to separate; to detach (to disunite from a group or mass,separar,v
tostadas,11796,toast,tostada,n
desperdiciar,11797,to waste,desperdiciar,v
chismes,11798,gossip,chisme,n
fallos,11799,mistake,fallo,n
pagaba,11800,to pay,pagar,v
sodio,11801,sodium,sodio,n
viviré,11802,to live,vivir,v
pozos,11803,well,pozo,n
rellenar,11804,to refill,rellenar,v
allanamiento,11805,smoothing; flattening,allanamiento,n
aquélla,11806,that one,aquél,pron
conduzco,11807,to drive,conducir,v
discutirlo,11808,to discuss; to argue,discutir,v
islam,11809,Islam,islam,n
marcharte,11810,to go; travel,marchar,v
cimientos,11811,foundation,cimiento,n
inofensivo,11812,harmless; innocuous,inofensivo,adj
resentimiento,11813,resentment,resentimiento,n
enviará,11814,to send,enviar,v
interferencia,11815,interference,interferencia,n
primitiva,11816,the Lotería Primitiva de España; a bi-weekly national lottery,primitivo,adj
argelia,11817,Algeria,Argelia,prop
motos,11818,clipping of motocicleta,moto,n
mudamos,11819,to move; relocate; move to a new house,mudar,v
protagonismo,11820,importance; prominence,protagonismo,n
protegerlo,11821,to protect; to defend,proteger,v
autora,11822,female author; authoress,autor,n
mangas,11823,sleeve,manga,n
divisas,11824,foreign currency,divisa,n
milton,11825,given name,Milton,prop
molecular,11826,molecular,molecular,adj
muslo,11827,thigh,muslo,n
padece,11828,to suffer,padecer,v
rentabilidad,11829,profitability; cost-effectiveness,rentabilidad,n
trazado,11830,tracing,trazado,n
enseñarles,11831,to teach,enseñar,v
influir,11832,to influence,influir,v
observan,11833,to observe; to eye,observar,v
banana,11834,banana,banana,n
creíble,11835,credible; believable,creíble,adj
paras,11836,for; to,parar,v
tapadera,11837,lid; cover,tapadera,n
ahogó,11838,suffocation,ahogar,v
besando,11839,to kiss,besar,v
nocturnos,11840,night,nocturno,adj
solteros,11841,single; unmarried,soltero,n
monetario,11842,currency,monetario,adj
bárbaro,11843,barbaric,bárbaro,adj
comportamientos,11844,behavior,comportamiento,n
resolvió,11845,to solve; to figure out; to work out; to crack,resolver,v
enamoró,11846,to enamor,enamorar,v
asegurarte,11847,to secure (to make fast,asegurar,v
marciales,11848,martial,marcial,adj
márquez,11849,surname,Márquez,prop
nutrición,11850,nutrition,nutrición,n
pegamento,11851,glue; adhesive,pegamento,n
regalado,11852,only used in dársele la regalada gana,regalar,v
vinculación,11853,connection; link,vinculación,n
basados,11854,based,basado,adj
brazalete,11855,bracelet,brazalete,n
calzones,11856,underpants,calzón,n
cobran,11857,to charge,cobrar,v
legalidad,11858,legality,legalidad,n
sociología,11859,sociology,sociología,n
sudamérica,11860,South America (The continent forming the southern part of the Americas,Sudamérica,prop
amigable,11861,amicable; friendly; amiable,amigable,adj
michigan,11862,Michigan,Míchigan,prop
sorprendentemente,11863,surprisingly,sorprendentemente,adv
convocar,11864,to call; convene; convoke,convocar,v
ocurriría,11865,to happen; to occur,ocurrir,v
alquilado,11866,to rent,alquilar,v
email,11867,email,,
envidio,11868,to envy,envidiar,v
noveno,11869,ninth,noveno,n
patricio,11870,patrician,Patricio,prop
evitado,11871,to avoid; to bypass; to evade; to circumvent; to dodge; to shun; to eschew,evitar,v
retos,11872,challenge,reto,n
supieron,11873,to know; to understand,saber,v
escoba,11874,broom,escoba,n
conque,11875,consequently; thus; hence; so,conque,conj
transcurrido,11876,to pass by; to elapse,transcurrir,v
cantos,11877,surname,canto,n
sucesivamente,11878,successively,sucesivamente,adv
abrazar,11879,to hug; to embrace,abrazar,v
atada,11880,tied; tied up; tied down,atado,adj
colocación,11881,placement; positioning,colocación,n
cuéntanos,11882,count; tally,contar,v
germán,11883,given name; in Spanish-speaking countries,Germán,prop
operadora,11884,female equivalent of operador,operador,n
esferas,11885,sphere,esfera,n
soja,11886,soya; soybean,soya,n
simbólico,11887,symbolic,simbólico,adj
visitando,11888,to visit,visitar,v
arquitectos,11889,architect,arquitecto,n
imaginarme,11890,to imagine,imaginar,v
patrullas,11891,patrol,patrulla,n
reacciona,11892,to react,reaccionar,v
alterada,11893,upset; angry,alterado,adj
calificaciones,11894,rating; grade; mark; score,calificación,n
congelador,11895,freezer,congelador,n
levantamiento,11896,lifting; raising,levantamiento,n
vieran,11897,to see; to spot,ver,v
mara,11898,people in one's in-group; crew; gang; squad,mara,n
obligaron,11899,to force; to compel; to make,obligar,v
visa,11900,visa,,
ayudantes,11901,auxiliary,ayudante,n
colas,11902,tail,cola,n
comprarlo,11903,to buy,comprar,v
dinastía,11904,dynasty,dinastía,n
rondas,11905,round; iteration,ronda,n
sequía,11906,drought,sequía,n
elevación,11907,elevation,elevación,n
fosa,11908,moat,fosa,n
parálisis,11909,paralysis,parálisis,n
matices,11910,hue,matiz,n
producía,11911,to produce,producir,v
contraté,11912,to contract; to take on,contratar,v
entrego,11913,hand-off,entregar,v
sobrevive,11914,to survive,sobrevivir,v
blog,11915,blog,,
destrozar,11916,to destroy; to break,destrozar,v
raja,11917,a slit; crack; gash,raja,n
tobillos,11918,ankle,tobillo,n
huérfano,11919,orphan,huérfano,n
sígame,11920,to follow,seguir,v
obvia,11921,obvious,obvio,adj
enemiga,11922,adverse,enemigo,adj
pobrecita,11923,poor,pobrecito,n
semanal,11924,weekly,semanal,adj
sudando,11925,to sweat,sudar,v
sumario,11926,summary,sumario,n
bancario,11927,related to banks,bancario,adj
encaje,11928,fitting,encaje,n
interese,11929,interest,interesar,v
barranco,11930,gully; gulch; ravine; barranca,barranco,n
disculparse,11931,excuse,disculpar,v
flexibilidad,11932,flexibility,flexibilidad,n
fusil,11933,rifle,fusil,n
lastimó,11934,to injure,lastimar,v
perderme,11935,to lose,perder,v
tortugas,11936,turtle,tortuga,n
transformaciones,11937,transformation,transformación,n
aceptará,11938,to accept; to take up; to take up on,aceptar,v
preparatoria,11939,high school,preparatorio,adj
presentando,11940,to present; to submit,presentar,v
sub,11941,under,sub,prep
vestía,11942,to dress; to clothe; to attire,vestir,v
anónimos,11943,anonymous,anónimo,adj
divertidas,11944,entertaining; amusing; funny,divertido,adj
exclamó,11945,to exclaim,exclamar,v
itinerario,11946,itinerary,itinerario,n
presidenciales,11947,presidency,presidencial,adj
armstrong,11948,armstrong,armstrong,none
menciones,11949,mention,mención,n
primordial,11950,primordial,primordial,adj
atroz,11951,atrocious,atroz,adj
banqueros,11952,banker,banquero,n
chocó,11953,A department of Colombia,Chocó,prop
disney,11954,Disney,Disney,n
inventando,11955,to invent,inventar,v
legendario,11956,legendary,legendario,adj
nutrientes,11957,nutrient,nutriente,n
resplandor,11958,radiance; glare; sheen; splendor; glow,resplandor,n
capitana,11959,female equivalent of capitán,capitán,n
escaparse,11960,get away,escapar,v
recuperando,11961,to recover,recuperar,v
vendes,11962,to sell,vender,v
gritan,11963,to shout; to scream; to cry out; to call out,gritar,v
prisiones,11964,prison,prisión,n
secuestró,11965,kidnapping,secuestrar,v
contarles,11966,to count,contar,v
haití,11967,Haiti,Haití,prop
alcalá,11968,the name of a number of cities and towns in Spain,Alcalá,prop
cerramos,11969,to close; to shut,cerrar,v
fomentar,11970,to foster; encourage; promote; advance,fomentar,v
obediencia,11971,obedience,obediencia,n
octava,11972,octave,octava,n
alianzas,11973,alliance,alianza,n
besarme,11974,to kiss,besar,v
espontánea,11975,spontaneous,espontáneo,adj
explican,11976,to explain,explicar,v
permitirse,11977,to allow; permit,permitir,v
descubrirlo,11978,to discover,descubrir,v
gemma,11979,gemma,gemma,none
tarzán,11980,Tarzan,Tarzán,prop
terminas,11981,to finish; to end; to terminate; to be over; to conclude,terminar,v
encargados,11982,in charge; responsible,encargado,adj
franja,11983,stripe,franja,n
intacto,11984,intact,intacto,adj
mills,11985,mills,mills,none
repentina,11986,sudden,repentino,adj
restaurar,11987,to restore; to renovate,restaurar,v
adictos,11988,addicted,adicto,n
analista,11989,analyst,analista,n
asociada,11990,associated,asociado,adj
dani,11991,given name,Dani,prop
defendido,11992,defendant,defender,v
sudáfrica,11993,South Africa,Sudáfrica,prop
corres,11994,to run; to jog,correr,v
identificó,11995,to identify; to pinpoint,identificar,v
mauricio,11996,Mauritius,Mauricio,prop
paradoja,11997,paradox,paradoja,n
prepararme,11998,to prepare,preparar,v
refuerzo,11999,reinforcement,refuerzo,n
visuales,12000,visual,visual,adj
administrar,12001,to administer,administrar,v
aspirantes,12002,aspiring,aspirante,n
carlitos,12003,given name,Carlitos,prop
esperaría,12004,to wait; to hold on,esperar,v
malvados,12005,evil; wicked; mean; bad,malvado,adj
aria,12006,aria,aria,n
elvira,12007,given name,Elvira,prop
gardner,12008,gardner,gardner,none
montana,12009,Montana,Montana,prop
potencialmente,12010,potentially,potencialmente,adv
sueldos,12011,salary,sueldo,n
aislada,12012,isolated,aislado,adj
chocar,12013,to crash,chocar,v
competidores,12014,competing,competidor,n
derrame,12015,leakage; effusion,derrame,n
moderado,12016,moderate,moderado,adj
suman,12017,to add,sumar,v
zombis,12018,zombie,zombi,n
callas,12019,lime,callar,v
certamen,12020,contest; competition; pageant,certamen,n
empeorar,12021,to worsen; to make worse; to exacerbate,empeorar,v
granjeros,12022,farmer,granjero,n
insuficiencia,12023,deficiency; lack,insuficiencia,n
díganme,12024,to say; to tell,decir,v
estables,12025,stable,estable,adj
inspira,12026,to inspire,inspirar,v
renovar,12027,to renovate,renovar,v
roble,12028,oak; several species of the genus Quercus,roble,n
salarial,12029,wages; salary,salarial,adj
celo,12030,zeal,celo,n
desechos,12031,jetsam,desecho,n
catedrático,12032,professor,catedrático,n
enfrentado,12033,to confront; to face; to stand up to;,enfrentar,v
librarse,12034,to save; to rescue; to deliver; to preserve,librar,v
mismísimo,12035,same,mismísimo,adj
ocupará,12036,to occupy,ocupar,v
ostras,12037,jeez; blimey; yikes; darn it,ostra,n
plenitud,12038,plenitude,plenitud,n
secuestrar,12039,to kidnap; to abduct,secuestrar,v
bebí,12040,to drink,beber,v
amuleto,12041,amulet,amuleto,n
contarnos,12042,to count,contar,v
desees,12043,whatchamacallit; thingamabob,desear,v
reinos,12044,kingdom,reino,n
castaño,12045,brown,castaño,n
cocinas,12046,kitchen,cocina,n
comprobando,12047,to check; to check on; to check out; to see; to check to see,comprobar,v
desaparecidas,12048,disappeared; missing,desaparecido,adj
frecuencias,12049,frequency,frecuencia,n
mae,12050,dude; guy; man,mae,n
molestarme,12051,to bother; to disturb; to trouble; to impose; to inconvenience; to burden,molestar,v
acompañó,12052,to accompany; to go with; to join; to tag along,acompañar,v
aspirina,12053,aspirin,aspirina,n
cuestionar,12054,to question,cuestionar,v
lomo,12055,back,lomo,n
carreta,12056,cart; dray,carreta,n
indignación,12057,indignation,indignación,n
vendemos,12058,to sell,vender,v
agresividad,12059,aggressiveness,agresividad,n
invisibles,12060,invisible,invisible,adj
ande,12061,where,andar,v
anota,12062,to annotate,anotar,v
completado,12063,completed,completar,v
inestabilidad,12064,instability,inestabilidad,n
inevitablemente,12065,inevitably; unavoidably; inexorably,inevitablemente,adv
lechuga,12066,lettuce,lechuga,n
procesión,12067,procession,procesión,n
quitan,12068,to get rid of,quitar,v
deshacerte,12069,to undo; to unmake,deshacer,v
dirían,12070,to say; to tell,decir,v
reservada,12071,reserved,reservado,adj
aplicada,12072,applied,aplicado,adj
detector,12073,detecting,detector,n
preferible,12074,preferable,preferible,adj
republicana,12075,republican,republicano,adj
gigantesco,12076,gigantic; gigantesque,gigantesco,adj
manía,12077,mania; bad habit; obsession,manía,n
recital,12078,recital,recital,n
abrazos,12079,hug; embrace,abrazo,n
convenios,12080,agreement,convenio,n
dependerá,12081,to depend; to be subject to,depender,v
destinadas,12082,destined,destinado,adj
reparaciones,12083,reparation,reparación,n
asistieron,12084,to attend,asistir,v
cairo,12085,Cairo,Cairo,prop
descomposición,12086,decomposition,descomposición,n
urnas,12087,urn,urna,n
aportaciones,12088,contribution,aportación,n
deshacernos,12089,to undo; to unmake,deshacer,v
aceptaron,12090,to accept; to take up; to take up on,aceptar,v
esconden,12091,to hide,esconder,v
marquesa,12092,female equivalent of marqués,marqués,n
videojuegos,12093,video game,videojuego,n
iniciaron,12094,to begin,iniciar,v
segmento,12095,segment; section,segmento,n
siria,12096,Syria,Siria,prop
tribuna,12097,gallery,tribuna,n
escalofríos,12098,chill; shiver,escalofrío,n
visibles,12099,visible,visible,adj
alcanzaron,12100,to reach,alcanzar,v
arrastrando,12101,to drag,arrastrar,v
brujo,12102,male witch; warlock; sorcerer,brujo,n
gitanos,12103,Gypsy,gitano,n
pesadas,12104,heavy in weight; weighty,pesado,adj
seguirás,12105,to follow,seguir,v
tac,12106,CAT scan,tac,n
tóxicos,12107,toxic,tóxico,adj
vivan,12108,to applaud,vivir,v
extremidades,12109,end; extremity (most extreme point)),extremidad,n
permitirme,12110,to allow; permit,permitir,v
terminaré,12111,to finish; to end; to terminate; to be over; to conclude,terminar,v
transmisor,12112,transmitter,transmisor,n
acertado,12113,correct; accurate,acertado,adj
equivocadas,12114,mistaken; wrong,equivocado,adj
frentes,12115,forehead; brow,frente,n
pascual,12116,Paschal,Pascual,prop
reconciliación,12117,reconciliation,reconciliación,n
sufría,12118,to suffer,sufrir,v
abrirla,12119,to open; open up,abrir,v
posturas,12120,position,postura,n
precisar,12121,to state; specify,precisar,v
socialmente,12122,socially,socialmente,adv
borrador,12123,eraser (North America); rubber (UK; India); india rubber (UK); bungee,borrador,n
cuidarte,12124,to look after; take care of (e.g. a house; a person) transitive or +de (of)],cuidar,v
necesitáis,12125,to need,necesitar,v
discreta,12126,discrete,discreto,adj
olfato,12127,smell; olfaction; sense of smell,olfato,n
textura,12128,texture,textura,n
apagó,12129,to extinguish (a flame; fire); to douse,apagar,v
invitaciones,12130,invitation,invitación,n
pulmonar,12131,pulmonary,pulmonar,adj
apestoso,12132,stinking; smelly,apestoso,adj
enteramente,12133,entirely,enteramente,adv
objetiva,12134,objective,objetivo,adj
permito,12135,to allow; permit,permitir,v
tarado,12136,stupid; dumb,tarado,adj
impotente,12137,impotent,impotente,adj
trataste,12138,to treat,tratar,v
uy,12139,oh; oops,uy,interj
conceder,12140,to grant; to concede; to admit; to bestow,conceder,v
controlarlo,12141,to control; to rein in,controlar,v
decidirá,12142,to decide; to make up one's mind; to determine; to choose to,decidir,v
drogadicto,12143,addicted to drugs,drogadicto,n
muralla,12144,large wall built to protect cities or territories,muralla,n
repetirlo,12145,to repeat (to do or say again (and again)),repetir,v
característico,12146,characteristic; typical,característico,adj
comercialización,12147,marketing,comercialización,n
dígales,12148,way to say hello on the telephone,decir,v
psicosis,12149,psychosis; frenzy,psicosis,n
adrián,12150,given name,,
madrina,12151,godmother,madrina,n
pantallas,12152,screen,pantalla,n
permanentes,12153,permanent,permanente,adj
vendas,12154,bandage,venda,n
proa,12155,bow; prow,proa,n
silvestre,12156,wild (untamed,silvestre,adj
activado,12157,activated; enabled,activado,adj
funeraria,12158,funeral home,funerario,adj
recordarle,12159,to remember; to recollect,recordar,v
criticar,12160,to criticize,criticar,v
dominado,12161,to dominate,dominar,v
tornado,12162,tornado,tornar,v
emitido,12163,to issue,emitir,v
parciales,12164,partial,parcial,adj
abandonados,12165,abandoned,abandonar,v
generado,12166,generated; created; produced,generar,v
peluquería,12167,hair salon; hairdressing salon; hairdresser's,peluquería,n
pre,12168,loan,pre,n
provenientes,12169,coming (from); originating,proveniente,adj
estratégica,12170,strategic,estratégico,adj
regresaremos,12171,to return; go back; come back,regresar,v
sacarlos,12172,to put out; to get out,sacar,v
temblor,12173,tremor,temblor,n
tirón,12174,tug; pull; jerk,tirón,n
acude,12175,to go; come [+a (to)]; to attend; visit,acudir,v
compraron,12176,to buy,comprar,v
escapé,12177,escape,escapar,v
sobrenatural,12178,supernatural,sobrenatural,adj
admitido,12179,to accept; to admit; to agree to; to concede,admitir,v
trabajaron,12180,to work,trabajar,v
acompañan,12181,to accompany; to go with; to join; to tag along,acompañar,v
ayudarás,12182,to help,ayudar,v
escalada,12183,increase; rise,escalada,n
debut,12184,debut,debut,n
destruidos,12185,destroyed,destruir,v
fósforo,12186,phosphorus,fósforo,n
psiquiatría,12187,psychiatry,psiquiatría,n
yeso,12188,plaster; gesso,yeso,n
grieta,12189,crack; chink; crevice,grieta,n
potencias,12190,power; potency,potencia,n
radios,12191,radio,radio,n
revancha,12192,revenge,revancha,n
debilidades,12193,debility,debilidad,n
delicadeza,12194,delicateness,delicadeza,n
detenida,12195,arrested,detenido,adj
enterrados,12196,buried,enterrado,adj
telas,12197,loads,tela,n
amarga,12198,bitter; sour,amargo,adj
berta,12199,given name,Berta,prop
complejas,12200,complex; sophisticated; intricate,complejo,adj
háganlo,12201,to do,hacer,v
aceptaría,12202,to accept; to take up; to take up on,aceptar,v
jacinto,12203,hyacinth,Jacinto,prop
relevantes,12204,significant; important,relevante,adj
reventar,12205,to burst; explode; blow up; break,reventar,v
avisó,12206,warning,avisar,v
honrar,12207,to honor,honrar,v
interrogado,12208,to interrogate,interrogar,v
light,12209,light,light,adj
center,12210,center,center,n
secuestrador,12211,kidnapper,secuestrador,n
tazón,12212,bowl,tazón,n
torrente,12213,torrent,torrente,n
absorción,12214,absorption,absorción,n
anotó,12215,to annotate,anotar,v
hambrienta,12216,very hungry; famished,hambriento,adj
barbie,12217,Barbie,barbie,n
injusta,12218,unfair,injusto,adj
modalidades,12219,modality,modalidad,n
pagaste,12220,to pay,pagar,v
amazonas,12221,Amazon,Amazonas,prop
complace,12222,to please,complacer,v
externas,12223,external,externo,adj
filmes,12224,film; motion picture,filme,n
potable,12225,potable; drinkable,potable,adj
ilustración,12226,illustration,ilustración,n
innecesario,12227,unnecessary,innecesario,adj
negligencia,12228,negligence; neglect,negligencia,n
tenor,12229,tenor,tenor,n
vivíamos,12230,to live,vivir,v
genios,12231,genius,genio,n
lingüística,12232,linguistics,lingüístico,adj
matemático,12233,mathematical,matemático,adj
obligan,12234,to force; to compel; to make,obligar,v
aprendes,12235,to learn,aprender,v
dese,12236,whatchamacallit; thingamabob,dar,v
estimulante,12237,stimulating,estimulante,adj
marchando,12238,to go; travel,marchar,v
monumental,12239,monumental,monumental,adj
murciélago,12240,bat,murciélago,n
ocupando,12241,to occupy,ocupar,v
alejar,12242,to remove to a distance; put farther away; to lead away; to draw away,alejar,v
bancarrota,12243,bankruptcy,bancarrota,n
cobertizo,12244,shed; shack,cobertizo,n
creadores,12245,creator,creador,n
escasas,12246,scarce; limited; scant; meager; meagre; skimpy; rare; insufficient; slight; slim,escaso,adj
poético,12247,poetic,poético,adj
atrapan,12248,to capture,atrapar,v
cabos,12249,end; edge; extremity,cabo,n
fundó,12250,country estate; farm,fundar,v
arruiné,12251,to ruin,arruinar,v
nicaragüense,12252,Nicaraguan,nicaragüense,adj
andaluz,12253,Andalusian,andaluz,adj
coincidencias,12254,coincidence,coincidencia,n
golpeaste,12255,to hit; to knock; to tap,golpear,v
vigilado,12256,to watch over,vigilar,v
indicio,12257,clue; hint,indicio,n
rastreo,12258,tracking; tracing,rastreo,n
constitucionales,12259,constitutional,constitucional,adj
interpretado,12260,to interpret; explain; decipher,interpretar,v
pruébalo,12261,proof,probar,v
right,12262,right fielder,right,n
vs,12263,vs,vs,prep
agresor,12264,aggressor; assailant,agresor,n
envuelta,12265,wrapped,envuelto,adj
gremio,12266,guild; association; union,gremio,n
recorte,12267,cutback,recorte,n
riendas,12268,rein(s),rienda,n
sentías,12269,to feel,sentir,v
analiza,12270,to analyze,analizar,v
agarré,12271,grip; grasp,agarrar,v
esculturas,12272,sculpture,escultura,n
firmada,12273,signed,firmado,adj
iluminado,12274,lit; illuminated,iluminado,adj
sorda,12275,deaf,sordo,adj
centrado,12276,focused,centrado,adj
grabados,12277,recorded,grabado,adj
jinetes,12278,horseman; horsewoman; rider,jinete,n
paralizado,12279,to paralyze,paralizar,v
urbanización,12280,housing development,urbanización,n
cubren,12281,to cover,cubrir,v
intacta,12282,intact,intacto,adj
reiteró,12283,to reiterate; to stress,reiterar,v
fracturas,12284,fracture,fractura,n
carrito,12285,shopping cart,carrito,n
ideológico,12286,ideological,ideológico,adj
clasificado,12287,classified,clasificado,adj
delia,12288,given name,Delia,prop
saques,12289,expulsion; extraction; act of putting something out,sacar,v
consigas,12290,with himself; herself; itself; themselves,conseguir,v
designación,12291,designation,designación,n
desprende,12292,to detach,desprender,v
granadas,12293,pomegranate,Granada,prop
inspectores,12294,inspector,inspector,n
rabo,12295,tail,rabo,n
trompeta,12296,trumpet,trompeta,n
amplios,12297,amp,amplio,adj
anhelo,12298,longing; desire; wish,anhelo,n
cambiaré,12299,to change; to shift; to switch; to alter,cambiar,v
legislativa,12300,legislative,legislativo,adj
lloro,12301,cry,llorar,v
pamplona,12302,Pamplona,Pamplona,prop
pedirá,12303,to ask for something,pedir,v
lucifer,12304,Lucifer,Lucifer,prop
mediocre,12305,mediocre,mediocre,adj
describió,12306,to describe; represent in words,describir,v
impresionada,12307,impressed,impresionado,adj
veíamos,12308,to see; to spot,ver,v
cortan,12309,to cut,cortar,v
instrumental,12310,instrumental,instrumental,adj
mártir,12311,martyr,mártir,n
acantilado,12312,steep; sheer,acantilado,n
atrapamos,12313,to capture,atrapar,v
bicicletas,12314,bicycle; pushbike; cycle,bicicleta,n
expectativa,12315,expectation,expectativa,n
lamenta,12316,lament,lamentar,v
nervio,12317,nerve,nervio,n
robarle,12318,to rob,robar,v
anomalías,12319,anomaly,anomalía,n
aplastar,12320,to crush; smash; squash,aplastar,v
recuperarlo,12321,to recover,recuperar,v
etiquetas,12322,label; tag,etiqueta,n
acusando,12323,to accuse; charge; indict,acusar,v
anzuelo,12324,hook; fishhook,anzuelo,n
gales,12325,Wales,Gales,prop
imitar,12326,to imitate; to mimic; to ape; to copy; to copycat; to impersonate; to simulate,imitar,v
moro,12327,a Moor,moro,n
pescados,12328,fish that has been caught,pescado,n
predicador,12329,preaching,predicador,n
recomendó,12330,to recommend,recomendar,v
varsovia,12331,Warsaw,Varsovia,prop
concentrarse,12332,to concentrate,concentrar,v
contarlo,12333,to count,contar,v
prescindir,12334,[+de (something)] to do without,prescindir,v
geometría,12335,geometry,geometría,n
presuntos,12336,presumed; assumed,presunto,adj
animación,12337,animation,animación,n
atractivos,12338,attractive; appealing,atractivo,adj
competitividad,12339,competitiveness,competitividad,n
juveniles,12340,juvenile,juvenil,adj
contéstame,12341,answer,contestar,v
fugaz,12342,fleeting,fugaz,adj
registraron,12343,to register; record,registrar,v
consulado,12344,consulate,consulado,n
electores,12345,voter; elector,elector,n
frustrante,12346,frustrating,frustrante,adj
detección,12347,detection,detección,n
permanecerá,12348,to stay; remain; stand,permanecer,v
esconderte,12349,to hide,esconder,v
pesas,12350,weightlifting,pesar,v
cariñoso,12351,loving; kind; caring; warm-hearted,cariñoso,adj
demencia,12352,dementia,demencia,n
estéril,12353,sterile; infertile,estéril,adj
ascender,12354,to ascend; to mount; to climb,ascender,v
asustan,12355,to scare; to frighten; to spook,asustar,v
arcos,12356,ARC,arco,n
avena,12357,oat,avena,n
batir,12358,to beat; to pound repeatedly,batir,v
despedirte,12359,to dismiss,despedir,v
fmi,12360,fmi,FMI,prop
iberia,12361,Iberia,Iberia,prop
salvará,12362,to save,salvar,v
viable,12363,viable,viable,adj
vocales,12364,by means of the voice,vocal,n
astronautas,12365,astronaut; spaceman,astronauta,n
extrañamente,12366,strangely,extrañamente,adv
mudanza,12367,move; relocation,mudanza,n
cometas,12368,comet,cometa,n
convertiría,12369,to convert,convertir,v
presenten,12370,to have a feeling; have an idea,presentar,v
aspira,12371,to inhale,aspirar,v
calculado,12372,to calculate,calcular,v
esteroides,12373,steroid,esteroide,n
luminoso,12374,luminous; bright,luminoso,adj
sucesivas,12375,successive,sucesivo,adj
aspirante,12376,aspiring,aspirante,n
dejarías,12377,to leave,dejar,v
peluche,12378,plush,peluche,n
reich,12379,Reich,Reich,n
afeitar,12380,to shave,afeitar,v
belén,12381,crib; nativity scene,Belén,prop
decorado,12382,decorated,decorado,adj
magnético,12383,magnetic,magnético,adj
metodología,12384,methodology,metodología,n
modesta,12385,given name,modesto,adj
sustancial,12386,substantial,sustancial,adj
sólidos,12387,solid,sólido,adj
anterioridad,12388,anteriority,anterioridad,n
