lemma,rank,translation,pos
profesión,3901,profession,noun
corazones,3902,"hearts (a suit of cards, ♥)",noun
veas,3903,you see,verb
condado,3904,county (land ruled by a count or countess),noun
reír,3905,to laugh,verb
buscaba,3906,I seeked,verb
observar,3907,to observe,verb
moto,3908,milestone,noun
oxígeno,3909,oxygen,noun
decírtelo,3910,infinitive of decir combined with indirect object te and direct object lo,verb
cementerio,3911,cemetery,noun
wilson,3912,,
dólar,3913,dollar (designation for specific currency),noun
joyas,3914,jewelry,noun
laboral,3915,labor,adj
ma,3916,mum; mom,noun
intelectual,3917,intellectual,adj
aumentar,3918,to increase,verb
sombras,3919,you overshadow,verb
nadar,3920,to swim,verb
británico,3921,Briton,noun
ministros,3922,plural of ministro,noun
traeré,3923,I will bring,verb
añadió,3924,he augmented; she augmented; it augmented,verb
sacrificio,3925,sacrifice,noun
asombroso,3926,"amazing, wondrous, breathtaking, awesome (inspiring awe, wonder or admiration)",adj
indicó,3927,he indicated; she indicated; it indicated,verb
salía,3928,I went out,verb
magnífico,3929,magnificent,adj
fama,3930,fame,noun
serpiente,3931,"snake, serpent (legless reptile of the sub-order Serpentes)",noun
tocado,3932,headdress,noun
absurdo,3933,something that is absurd or ridiculous,noun
auténtico,3934,"authentic, real, true (conforming to reality and therefore worthy of trust)",adj
caos,3935,chaos,noun
encantan,3936,they charm,verb
citas,3937,you cite,verb
entrando,3938,entering,verb
regional,3939,regional,adj
fantasía,3940,fantasy,noun
castro,3941,"fort, fortified settlement",noun
descripción,3942,description,noun
diagnóstico,3943,diagnosis,noun
espacios,3944,plural of espacio,noun
pastillas,3945,plural of pastilla,noun
comunes,3946,plural of común,noun
torneo,3947,tournament; tourney,noun
consejos,3948,plural of consejo,noun
plástico,3949,plastic (a stiff but usually slightly flexible synthetic material),noun
demuestra,3950,he shows; she shows; it shows,verb
escribí,3951,I writed,verb
moscú,3952,,
roberto,3953,,
buscas,3954,you seek,verb
universal,3955,universal,adj
escolar,3956,to go through a narrow place,verb
esperanzas,3957,you give hope to,verb
aprendí,3958,I learned,verb
oscura,3959,feminine singular of oscuro,adj
verdes,3960,plural of verde,noun
adonde,3961,"to where, whither",adv
pata,3962,"paw, foot, leg (of an animal)",noun
delicioso,3963,"delicious, delectable, luscious",adj
demasiada,3964,feminine singular of demasiado,adj
atrapar,3965,to capture,verb
cooperación,3966,cooperation,noun
sabia,3967,female equivalent of sabio,noun
hablarle,3968,to talk,verb
recorrido,3969,route,noun
guau,3970,"woof, bow wow (the sound a dog makes when barking)",intj
judío,3971,Jew; Jewish person,noun
química,3972,chemistry (the branch of science concerned with the composition of substances),noun
raíces,3973,plural of raíz,noun
observa,3974,he observes; she observes; it observes,verb
asegurarme,3975,to secure,verb
experiencias,3976,you experience,verb
andrés,3977,,
únicos,3978,masculine plural of único,adj
jaime,3979,,
cuarta,3980,synonym of disciplina (a hemp whip resembling a cat-o'-nine-tails),noun
calla,3981,he calms; she calms; it calms,verb
azules,3982,you dye blue,verb
centavos,3983,plural of centavo,noun
resolución,3984,resolution,noun
reto,3985,challenge (a difficult task),noun
prometí,3986,I promised,verb
atmósfera,3987,atmosphere,noun
instrumentos,3988,plural of instrumento,noun
interpretación,3989,interpretation,noun
intentas,3990,you try,verb
almacén,3991,warehouse,noun
pare,3992,"stop, an act of stopping",noun
rayo,3993,"beam, ray (wave of energy)",noun
rojas,3994,plural of roja,noun
mencionar,3995,to mention,verb
costado,3996,side,noun
compañías,3997,plural of compañía,noun
debiste,3998,you owed,verb
apesta,3999,he stinks; she stinks; it stinks,verb
incremento,4000,increment,noun
contando,4001,counting,verb
escribiendo,4002,writing,verb
volvemos,4003,we return,verb
deportes,4004,you deport,verb
órganos,4005,plural of órgano,noun
asumir,4006,to assume,verb
cuestiones,4007,you question,verb
escondido,4008,hided,verb
telefónica,4009,feminine singular of telefónico,adj
berlín,4010,"donut (fried pastry, usually in an ellipsoidal shape and filled with cream)",noun
listas,4011,you register,verb
avenida,4012,avenue,noun
titular,4013,to entitle,verb
galletas,4014,plural of galleta,noun
comerciales,4015,you deal,verb
pasajeros,4016,plural of pasajero,noun
prepara,4017,he prepares; she prepares; it prepares,verb
taller,4018,workshop,noun
normales,4019,you norm,verb
mírate,4020,you look at,verb
dirás,4021,you will say,verb
fiel,4022,"faithful, true",adj
extraordinario,4023,extraordinary,adj
esencial,4024,essential,adj
olvidó,4025,he forgeted; she forgeted; it forgeted,verb
golpear,4026,to hit,verb
ud,4027,,
entienden,4028,they understand,verb
cinturón,4029,belt,noun
condena,4030,"sentence, punishment",noun
desarrollar,4031,to develop,verb
piedad,4032,piety,noun
acero,4033,steel,noun
revés,4034,"back, reverse side",noun
sincero,4035,I exculpate,verb
dieta,4036,diet (the food and beverages a person or animal consumes),noun
intenciones,4037,you intend,verb
idioma,4038,language,noun
pasaría,4039,I would pass,verb
sufrimiento,4040,suffering,noun
adivinar,4041,to guess,verb
gafas,4042,eyeglasses,noun
ayudarla,4043,to help,verb
signo,4044,"sign, indication",noun
amarillo,4045,yellow,noun
arrestado,4046,arrested,verb
recepción,4047,reception,noun
norteamericano,4048,North American (native or inhabitant of North America) (usually male),noun
tenerlo,4049,to have,verb
contactos,4050,plural of contacto,noun
verán,4051,they will see,verb
raíz,4052,root; root vegetable,noun
portavoz,4053,"spokesperson, spokesman, spokeswoman",noun
vende,4054,I bandage,verb
prisionero,4055,prisoner,noun
guitarra,4056,guitar,noun
collar,4057,necklace,noun
derrota,4058,defeat,noun
contexto,4059,context,noun
maestros,4060,plural of maestro,noun
pistas,4061,plural of pista,noun
oficio,4062,"profession, occupation",noun
grano,4063,grain (the seed of various grass food crops),noun
web,4064,"webpage, website",noun
convertir,4065,to convert,verb
ordenó,4066,he ordered; she ordered; it ordered,verb
oyó,4067,he heared; she heared; it heared,verb
económicas,4068,feminine plural of económico,adj
pagó,4069,he payed; she payed; it payed,verb
implica,4070,he implies; she implies; it implies,verb
decimos,4071,we say,verb
rocas,4072,plural of roca,noun
ilusión,4073,illusion,noun
sevilla,4074,,
debilidad,4075,debility,noun
espía,4076,spy,noun
moderno,4077,modern,adj
empresarios,4078,plural of empresario,noun
dominio,4079,domain,noun
socialistas,4080,plural of socialista,noun
trozo,4081,piece,noun
actuando,4082,acting,verb
cerebral,4083,cerebral,adj
agenda,4084,"agenda, planner (notebook)",noun
riqueza,4085,"wealth, affluence, richness",noun
lealtad,4086,loyalty,noun
norma,4087,"rule, norm, standard, touchstone",noun
pinta,4088,"look, appearance",noun
herramientas,4089,plural of herramienta,noun
sinceramente,4090,sincerely,adv
enseñanza,4091,teaching,noun
cortes,4092,you cut,verb
costo,4093,cost,noun
honestamente,4094,honestly,adv
campeonato,4095,championship,noun
oreja,4096,outer ear; auricle; ear (used for references to the external or tangible aspects of the ear),noun
viuda,4097,widow,noun
suyos,4098,"theirs, their, to them",det
parejas,4099,plural of pareja,noun
cifra,4100,digit,noun
valencia,4101,"valency, valence",noun
madrugada,4102,dawn,noun
famosa,4103,female equivalent of famoso,noun
paliza,4104,"beating, bashing",noun
tina,4105,vat,noun
arco,4106,bow (weapon),noun
colonia,4107,colony,noun
identificar,4108,to identify,verb
avance,4109,advance,noun
acuerdos,4110,plural of acuerdo,noun
posterior,4111,"posterior, later",adj
entidad,4112,entity,noun
consulta,4113,consultation,noun
bebidas,4114,feminine plural of bebido,verb
sonar,4115,to sound,verb
mexicano,4116,Mexican (an inhabitant of the country of Mexico),noun
almas,4117,plural of alma,noun
sabíamos,4118,we knew,verb
comunicaciones,4119,plural of comunicación,noun
abrazo,4120,"hug, embrace",noun
exteriores,4121,plural of exterior,noun
gatos,4122,plural of gato,noun
buscado,4123,seeked,verb
pozo,4124,well (hole in the ground as a source of water or other fluids),noun
sabría,4125,I would know,verb
prohibido,4126,forbided,verb
desnuda,4127,he undresses; she undresses; it undresses,verb
concepción,4128,conception (fertilization of an ovum by a sperm to form a zygote),noun
lanza,4129,"lance, spear, glaive",noun
terminamos,4130,we finished,verb
saludos,4131,plural of saludo,noun
negociaciones,4132,plural of negociación,noun
oliver,4133,,
sueldo,4134,salary,noun
posteriormente,4135,"afterwards, later",adv
producido,4136,produced,verb
grito,4137,"a cry, a yell, a scream, a growl",noun
respiración,4138,respiration,noun
verse,4139,to see,verb
obligación,4140,obligation,noun
helicóptero,4141,helicopter (an aircraft that is borne along by one or more sets of long rotating blades which allow it to hover),noun
cogido,4142,fold,noun
pendiente,4143,earring,noun
pudieras,4144,you were able to,verb
intercambio,4145,exchange,noun
peligrosa,4146,feminine singular of peligroso,adj
celoso,4147,jealous,adj
manifestó,4148,he manifested; she manifested; it manifested,verb
inversiones,4149,plural of inversión,noun
contestar,4150,to reply,verb
barato,4151,first-person singular present indicative of baratar,verb
vías,4152,plural of vía,noun
fuga,4153,"escape, flight",noun
oriente,4154,east,noun
maíz,4155,"corn, maize",noun
risas,4156,plural of risa,noun
postura,4157,position,noun
realiza,4158,he carries out; she carries out; it carries out,verb
actuales,4159,you act,verb
toman,4160,they take,verb
preparando,4161,preparing,verb
adulto,4162,adult,noun
mm,4163,abbreviation of milímetro,noun
boston,4164,,
tomará,4165,he will take; she will take; it will take,verb
ocultar,4166,to hide,verb
diera,4167,I gave,verb
drama,4168,"drama, tragedy, plight (quality of intense or high emotion or situation of enormous gravity that heightens such emotions)",noun
canadá,4169,,
ingeniero,4170,engineer,noun
naranja,4171,orange (fruit),noun
ó,4172,,
chiste,4173,joke (told joke),noun
comenzaron,4174,they begined,verb
diana,4175,bullseye (of an archery target),noun
reducción,4176,reduction,noun
europeos,4177,plural of europeo,noun
ascensor,4178,"elevator, lift",noun
pausa,4179,"break, pause, rest",noun
evaluación,4180,evaluation,noun
tontos,4181,plural of tonto,noun
adios,4182,Anglicization of adiós,intj
dada,4183,feminine singular of dado,verb
promedio,4184,average,noun
solicitud,4185,"request, solicitation",noun
tendrías,4186,you would have,verb
firmado,4187,signed,verb
diputado,4188,deputy,noun
enormes,4189,plural of enorme,adj
manejo,4190,handling,noun
importar,4191,to matter,verb
utilizado,4192,used,verb
caridad,4193,charity,noun
encontrará,4194,he will meet; she will meet; it will meet,verb
concreto,4195,concrete (building material),noun
recurso,4196,writ,noun
cambiando,4197,changing,verb
tasa,4198,rate,noun
posesión,4199,possession,noun
quinto,4200,"fifth, ¹⁄₅",noun
rata,4201,rat (a medium-sized rodent belonging to the genus Rattus),noun
dispararon,4202,they shooted,verb
cadáveres,4203,plural of cadáver,noun
llamaron,4204,they summoned,verb
sobrino,4205,nephew,noun
disciplina,4206,discipline (control),noun
vuestras,4207,"feminine plural of vuestro: yours, your, to you",det
transmisión,4208,"broadcast, transmission",noun
camina,4209,he walks; she walks; it walks,verb
sucia,4210,feminine singular of sucio,adj
lewis,4211,,
vital,4212,vital,adj
escape,4213,leak,noun
pico,4214,beak (of a bird),noun
regiones,4215,plural of región,noun
penal,4216,a kind of prison,noun
sindicato,4217,trade union,noun
fatal,4218,"terrible, very bad",adj
tiendas,4219,you tend to,verb
apariencia,4220,"appearance (semblance, or apparent likeness)",noun
túnel,4221,tunnel,noun
amplio,4222,"broad, large, spacious, wide, expansive",adj
entendí,4223,I understanded,verb
giro,4224,"turn, spin",noun
medicamentos,4225,plural of medicamento,noun
seguirá,4226,he will follow; she will follow; it will follow,verb
probado,4227,proved,verb
albert,4228,,
retiro,4229,retirement,noun
vestidos,4230,masculine plural of vestido,verb
cuartel,4231,quarters (military lodging),noun
intentaré,4232,I will try,verb
barba,4233,beard,noun
aceptado,4234,accepted,verb
cuentan,4235,they count,verb
candidatos,4236,plural of candidato,noun
investigando,4237,investigating,verb
confusión,4238,confusion,noun
billetes,4239,plural of billete,noun
desaparición,4240,disappearance,noun
virginia,4241,,
preocuparte,4242,to worry,verb
traidor,4243,"traitor, betrayer, backstabber",noun
moverse,4244,to move,verb
pintor,4245,painter,noun
aguantar,4246,to hold,verb
esclavos,4247,plural of esclavo,noun
mantenimiento,4248,maintenance,noun
conocimientos,4249,plural of conocimiento,noun
chef,4250,"chef, head cook",noun
dispuesta,4251,feminine singular of dispuesto,verb
s.,4252,,
impulso,4253,"drive, urge",noun
pastor,4254,shepherd,noun
afortunado,4255,past participle of afortunar,verb
decente,4256,I start,verb
discos,4257,plural of disco,noun
danza,4258,dance,noun
rubia,4259,station wagon; estate car,noun
gorda,4260,female equivalent of gordo,noun
claridad,4261,"clarity, clearness",noun
aldea,4262,village,noun
pesca,4263,fishing,noun
bolsas,4264,dickweed; shithead; dickhead,noun
duque,4265,duke,noun
determinado,4266,determined,verb
cuéntame,4267,I count,verb
divertida,4268,feminine singular of divertido,verb
considerando,4269,recital,noun
creó,4270,he created; she created; it created,verb
tabaco,4271,tobacco,noun
combinación,4272,combination,noun
mandó,4273,he sended; she sended; it sended,verb
diarios,4274,plural of diario,noun
bello,4275,"beautiful, fair",adj
parker,4276,,
joan,4277,,
indio,4278,a native of India,noun
sesenta,4279,"sixty (the cardinal number occurring after fifty-nine and before sixty-one, represented in Roman numerals as LX and in Arabic numerals as 60)",num
pudimos,4280,we were able to,verb
definición,4281,definition (a statement of the meaning of a word),noun
recibo,4282,receipt (written acknowledgement of e.g. a sale),noun
teléfonos,4283,plural of teléfono,noun
comprende,4284,he understands; she understands; it understands,verb
grabación,4285,recording (an activity or result),noun
encerrado,4286,locked up,verb
ocupa,4287,he occupies; she occupies; it occupies,verb
dejaría,4288,I would leave,verb
hablarte,4289,to talk,verb
pasas,4290,you pass,verb
senado,4291,senate,noun
populares,4292,plural of popular,noun
despedido,4293,dismissed,verb
dispositivo,4294,"appliance, device, equipment",noun
jugo,4295,juice (liquid from a plant),noun
heroína,4296,heroine,noun
máscara,4297,mask,noun
tristeza,4298,"sadness, gloom, sorrow, gloominess, unhappiness, misery",noun
trabajamos,4299,we worked,verb
rango,4300,rank,noun
sabiendo,4301,knowing,verb
comando,4302,commando,noun
largos,4303,plural of largo,noun
orejas,4304,plural of oreja,noun
asusta,4305,he scares; she scares; it scares,verb
presentan,4306,they present,verb
dias,4307,plural of dia,noun
sano,4308,I cure,verb
negociar,4309,to negotiate,verb
delitos,4310,plural of delito,noun
islas,4311,plural of isla,noun
falla,4312,flaw,noun
negociación,4313,negotiation,noun
mancha,4314,spot; stain,noun
muebles,4315,furniture,noun
realizó,4316,he carried out; she carried out; it carried out,verb
horario,4317,"timetable, schedule",noun
cantando,4318,singing,verb
gimnasio,4319,"gym, gymnasium (a room or building equipped for indoor sports)",noun
disparado,4320,shooted,verb
querrá,4321,he will desire; she will desire; it will desire,verb
héroes,4322,plural of héroe,noun
cataluña,4323,,
mete,4324,he puts in; she puts in; it puts in,verb
pobreza,4325,poverty,noun
lanzamiento,4326,launch (act of launching),noun
marta,4327,marten (mammal of the Martes genus),noun
celebración,4328,celebration,noun
similares,4329,plural of similar,adj
rosas,4330,plural of rosa,noun
estuvieras,4331,you were,verb
acababa,4332,I finished,verb
adoro,4333,I adore,verb
paisaje,4334,landscape (the view of an area of land),noun
deseas,4335,you wish,verb
descubrimiento,4336,discovery (something discovered),noun
individuos,4337,plural of individuo,noun
cartel,4338,"poster, placard, bill, banner",noun
uñas,4339,plural of uña,noun
resuelto,4340,resolved,verb
imagina,4341,he imagines; she imagines; it imagines,verb
inconsciente,4342,unconscious,adj
profesora,4343,female equivalent of profesor (“teacher”),noun
eta,4344,"eta; the Greek letter Η, η",noun
tratan,4345,they treat,verb
informado,4346,informed,verb
aprobación,4347,approval,noun
trabajó,4348,he worked; she worked; it worked,verb
supremo,4349,supreme,adj
embajada,4350,embassy,noun
lanzar,4351,to throw,verb
tocando,4352,touching,verb
experimento,4353,experiment,noun
coraje,4354,"courage, bravery, spunk",noun
monedas,4355,plural of moneda,noun
levantó,4356,he lifted; she lifted; it lifted,verb
dibujo,4357,drawing,noun
casarte,4358,to marry,verb
déjala,4359,you leave,verb
miller,4360,,
profundidad,4361,depth,noun
producen,4362,they produce,verb
gol,4363,goal,noun
prácticas,4364,plural of práctica,noun
repito,4365,I repeat ),verb
establece,4366,he establishes; she establishes; it establishes,verb
blancas,4367,feminine plural of blanco,adj
docena,4368,dozen,noun
iniciar,4369,to begin,verb
constantemente,4370,constantly,adv
porcentaje,4371,percentage,noun
pensarlo,4372,to think,verb
votar,4373,to vote,verb
circo,4374,circus (a travelling company of performers),noun
alcanza,4375,he reaches; she reaches; it reaches,verb
anual,4376,"yearly, annual",adj
forense,4377,forensic examiner,noun
revistas,4378,feminine plural of revisto,verb
comentario,4379,comment,noun
conveniente,4380,convenient,adj
amplia,4381,feminine singular of amplio,adj
consejero,4382,adviser,noun
escuchó,4383,he listened to; she listened to; it listened to,verb
organismos,4384,plural of organismo,noun
utilizando,4385,using,verb
vendido,4386,sellout,noun
traición,4387,treason,noun
protesta,4388,protest,noun
dimensión,4389,dimension (a single aspect of a given thing),noun
inocentes,4390,plural of inocente,noun
terminé,4391,I finished,verb
cabaña,4392,"cabin, cottage, hut",noun
criaturas,4393,plural of criatura,noun
mantequilla,4394,butter,noun
retrato,4395,portrait,noun
involucrado,4396,involved,verb
naves,4397,plural of nave,noun
amenazas,4398,you threaten,verb
lógico,4399,logician,noun
confesión,4400,confession,noun
crítico,4401,critic (a person who appraises the works of others),noun
espiritual,4402,spiritual (a Christian religious song),noun
demostrado,4403,showed,verb
propietario,4404,"owner, proprietor (of land or business)",noun
cojones,4405,"testicles, bollocks, balls (plural of cojón)",noun
infección,4406,infection,noun
armado,4407,armed,verb
conseguimos,4408,we achieved,verb
patatas,4409,plural of patata,noun
impuesto,4410,impost,noun
díaz,4411,,
acusación,4412,accusation,noun
arreglado,4413,fixed,verb
ratas,4414,plural of rata,noun
ingreso,4415,"entrance, ingress",noun
necesariamente,4416,necessarily,adv
sugiero,4417,I suggest,verb
volvería,4418,I would return,verb
sida,4419,feminine singular of sido,verb
tirado,4420,throwed,verb
histórica,4421,feminine singular of histórico,adj
ayudado,4422,helped,verb
cigarrillos,4423,plural of cigarrillo,noun
planeado,4424,planed,verb
enfrentar,4425,to confront,verb
argumento,4426,argument,noun
mejora,4427,"improvement, improving, amelioration, betterment, refinement",noun
arreglo,4428,"adjustment, arrangement",noun
emocional,4429,emotional,adj
sagrado,4430,"holy, sacred",adj
miserable,4431,poor,adj
euros,4432,plural of euro,noun
otoño,4433,"autumn, fall",noun
galería,4434,gallery,noun
ópera,4435,opera,noun
encontrarla,4436,to meet,verb
mandar,4437,to send,verb
mercados,4438,masculine plural of mercado,verb
salta,4439,he jumps; she jumps; it jumps,verb
volverás,4440,you will return,verb
criterios,4441,plural of criterio,noun
morirá,4442,he will die; she will die; it will die,verb
estable,4443,inflection of establir:,verb
conocidos,4444,masculine plural of conocido,verb
poderosa,4445,feminine singular of poderoso,adj
sufrió,4446,he suffered; she suffered; it suffered,verb
subtítulos,4447,plural of subtítulo,noun
mueren,4448,they die,verb
desaparece,4449,he disappears; she disappears; it disappears,verb
integración,4450,integration,noun
añadir,4451,to augment,verb
poema,4452,poem (literary piece written in verse),noun
camiseta,4453,T-shirt,noun
dirigir,4454,to direct,verb
pusiste,4455,you put,verb
mencionó,4456,he mentioned; she mentioned; it mentioned,verb
diamantes,4457,"diamonds (a suit of cards, ♦)",noun
tubo,4458,tube,noun
selva,4459,jungle,noun
gobiernos,4460,plural of gobierno,noun
dificultad,4461,"difficulty, trouble, problem, challenge, constraint, strenuousness, arduousness",noun
observación,4462,observation,noun
apuestas,4463,you bet,verb
directora,4464,head (headmistress),noun
críticas,4465,plural of crítica,noun
garaje,4466,garage (domestic storage for a car or motor repair facility),noun
extrañas,4467,you miss,verb
onda,4468,wave (on the surface of a liquid),noun
sospecha,4469,suspicion,noun
escenas,4470,plural of escena,noun
permitió,4471,he allowed; she allowed; it allowed,verb
entusiasmo,4472,enthusiasm,noun
gané,4473,I gained,verb
grasa,4474,fat or grease used in cooking,noun
etcétera,4475,long list,noun
anciano,4476,an elderly person,noun
as,4477,an ace (in a game of cards),noun
parezco,4478,I seem,verb
devolver,4479,to return,verb
rompe,4480,he breaks; she breaks; it breaks,verb
apropiado,4481,given,verb
tocó,4482,he touched; she touched; it touched,verb
relacionado,4483,related,verb
sufre,4484,he suffers; she suffers; it suffers,verb
atreves,4485,you dare,verb
pelotas,4486,"balls, testicles",noun
embarazo,4487,"pregnancy, childbearing",noun
dragón,4488,dragon (legendary serpentine creature),noun
estadounidenses,4489,plural of estadounidense,noun
convencer,4490,to convince,verb
funcionan,4491,they work,verb
postre,4492,dessert; sweet,noun
pudieran,4493,they were able to,verb
casco,4494,helmet,noun
intensidad,4495,intensity,noun
exige,4496,he demands; she demands; it demands,verb
ácido,4497,acid,noun
acontecimientos,4498,plural of acontecimiento,noun
hablaste,4499,you talked,verb
luce,4500,he shines; she shines; it shines,verb
toneladas,4501,plural of tonelada,noun
matemáticas,4502,mathematics,noun
conté,4503,I counted,verb
comenzado,4504,begined,verb
rutina,4505,routine,noun
dejarla,4506,to leave,verb
super,4507,"very, mega",adj
despejado,4508,cleared,verb
oficinas,4509,plural of oficina,noun
criterio,4510,criterion,noun
decreto,4511,decree,noun
importe,4512,"price, cost",noun
amantes,4513,you tuck,verb
décadas,4514,plural of década,noun
títulos,4515,plural of título,noun
apetece,4516,he feels like; she feels like; it feels like,verb
man,4517,"man, guy, dude",noun
prestado,4518,lended,verb
exceso,4519,excess,noun
ponía,4520,I put,verb
llevarla,4521,to take,verb
organizado,4522,organized,verb
abandonó,4523,he abandoned; she abandoned; it abandoned,verb
sacaste,4524,you put out,verb
colocar,4525,to place,verb
corredor,4526,"corridor, hall",noun
nací,4527,I was born,verb
ríos,4528,plural of río,noun
dispuestos,4529,masculine plural of dispuesto,verb
fraude,4530,fraud,noun
refería,4531,I reported,verb
vivienda,4532,"housing, dwelling",noun
azar,4533,"luck, chance",noun
promoción,4534,promotion,noun
bromas,4535,plural of broma,noun
hallar,4536,to find something,verb
muertes,4537,plural of muerte,noun
particularmente,4538,particularly,adv
presa,4539,"reservoir, dam",noun
entré,4540,I entered,verb
investigadores,4541,plural of investigador,noun
quedarnos,4542,to be,verb
dedicado,4543,dedicated,verb
bajos,4544,plural of bajo,noun
autorización,4545,authorization,noun
vecindario,4546,neighbourhood,noun
advertencia,4547,warning,noun
cima,4548,top,noun
realización,4549,"realization, actualization (process of making something real, act of becoming real or concrete)",noun
conocerlo,4550,to know,verb
importaba,4551,I mattered,verb
patas,4552,devil; Satan,noun
cole,4553,I sift,verb
adolescentes,4554,plural of adolescente,noun
comunicado,4555,"communiqué, statement",noun
pediste,4556,you asked for something,verb
tejido,4557,texture (of a cloth),noun
margaret,4558,,
líquido,4559,liquid; fluid,noun
consideran,4560,they consider,verb
aves,4561,plural of ave,noun
satisfacción,4562,satisfaction,noun
empecemos,4563,we start,verb
repetir,4564,to repeat ),verb
retraso,4565,delay,noun
llamarte,4566,to summon,verb
orquesta,4567,orchestra (of classical music),noun
intentamos,4568,we tried,verb
billete,4569,"banknote, bill (paper currency)",noun
ponerle,4570,to have sex,verb
agregó,4571,he added; she added; it added,verb
mereces,4572,you deserve,verb
próximas,4573,feminine plural of próximo,adj
esperaré,4574,I will hope,verb
hígado,4575,liver,noun
enfadada,4576,feminine singular of enfadado,verb
recordó,4577,he remembered; she remembered; it remembered,verb
habrán,4578,they will have,verb
núcleo,4579,nucleus,noun
grita,4580,shouting match,noun
aérea,4581,feminine singular of aéreo,adj
clinton,4582,,
índice,4583,index,noun
cometer,4584,to commit,verb
bodas,4585,plural of boda,noun
ruiz,4586,,
vela,4587,candle,noun
constitucional,4588,constitutional,adj
coro,4589,choir,noun
campesinos,4590,plural of campesino,noun
ee.uu.,4591,,
cuentos,4592,plural of cuento,noun
payaso,4593,clown,noun
raúl,4594,,
fruta,4595,fruit (the seed-bearing part of a plant),noun
turismo,4596,tourism,noun
gilipollas,4597,"shithead, dickhead, asshole, dumbass, wanker",noun
empiezo,4598,start,noun
nieto,4599,grandchild; grandson,noun
béisbol,4600,baseball (ballgame),noun
fingir,4601,to pretend,verb
establecido,4602,established,verb
revisión,4603,revision,noun
inmunidad,4604,immunity,noun
mecanismo,4605,mechanism,noun
cocaína,4606,cocaine,noun
impedir,4607,to impede,verb
organizar,4608,to organize,verb
vera,4609,"side, face",noun
estupidez,4610,stupidity (the property of being stupid),noun
negó,4611,he denied; she denied; it denied,verb
querrás,4612,you will desire,verb
trasera,4613,feminine singular of trasero,adj
continua,4614,feminine singular of continuo,adj
hayamos,4615,we have,verb
rechazo,4616,refusal,noun
textos,4617,plural of texto,noun
prometió,4618,he promised; she promised; it promised,verb
tranquilos,4619,masculine plural of tranquilo,adj
existir,4620,to exist,verb
egoísta,4621,egotist,noun
típico,4622,a dance and music style from Panama,noun
williams,4623,,
váyanse,4624,they go,verb
jersey,4625,"sweater, pullover",noun
quinta,4626,villa; country home,noun
prefiere,4627,he prefers; she prefers; it prefers,verb
equipaje,4628,luggage,noun
duros,4629,plural of duro,noun
individual,4630,place mat,noun
financiero,4631,financial,adj
numerosos,4632,masculine plural of numeroso,adj
causar,4633,to cause,verb
dijimos,4634,we said,verb
monstruos,4635,plural of monstruo,noun
internos,4636,plural of interno,noun
papas,4637,you slurp,verb
conejo,4638,"rabbit, cony, coney (male or unspecified sex)",noun
jessica,4639,,
sepan,4640,they know,verb
matará,4641,he will kill; she will kill; it will kill,verb
ubicación,4642,"position, location",noun
tomaron,4643,they taked,verb
explotar,4644,to exploit,verb
opiniones,4645,plural of opinión,noun
evitarlo,4646,to avoid,verb
activa,4647,he activates; she activates; it activates,verb
bienestar,4648,well-being; welfare,noun
terrorismo,4649,terrorism,noun
echó,4650,he throwed; she throwed; it throwed,verb
parecían,4651,they seemed,verb
planos,4652,plural of plano,noun
enojada,4653,feminine singular of enojado,verb
composición,4654,composition,noun
salario,4655,"wage, wages, salary",noun
viera,4656,I saw,verb
haberla,4657,to have,verb
putas,4658,plural of puta,noun
premios,4659,plural of premio,noun
latina,4660,inflection of latinar:,verb
virtud,4661,virtue,noun
pasaporte,4662,passport,noun
acento,4663,accent (typographical line),noun
agricultura,4664,"agriculture, farming",noun
batería,4665,large and rechargeable battery,noun
prostituta,4666,female equivalent of prostituto,noun
informar,4667,to inform,verb
ensalada,4668,salad,noun
productor,4669,producer,noun
costó,4670,he costed; she costed; it costed,verb
colina,4671,hill,noun
patrulla,4672,patrol,noun
funcionario,4673,"official, public official",noun
estructuras,4674,you structure,verb
hacerla,4675,to do,verb
habia,4676,,
vencer,4677,to defeat,verb
activo,4678,asset (any property or material right of an enterprise or individual),noun
propuestas,4679,feminine plural of propuesto,verb
váyase,4680,he goes; she goes; it goes,verb
esencia,4681,essence,noun
ala,4682,wing (of a bird or insect),noun
cómoda,4683,chest of drawers,noun
perdidos,4684,masculine plural of perdido,verb
democrática,4685,feminine singular of democrático,adj
descubrí,4686,I discovered,verb
inició,4687,he begined; she begined; it begined,verb
camarada,4688,"comrade (mate, companion)",noun
señoritas,4689,plural of señorita,noun
parto,4690,"childbirth, labor",noun
cueva,4691,cave,noun
tomaste,4692,you taked,verb
unidas,4693,feminine plural of unido,verb
almorzar,4694,to eat lunch,verb
extremadamente,4695,extremely,adv
habrías,4696,you would have,verb
dirigido,4697,directed,verb
perdedor,4698,loser,noun
acceder,4699,to accede,verb
dibujos,4700,plural of dibujo,noun
consideración,4701,consideration,noun
poli,4702,cop,noun
buscarlo,4703,to seek,verb
ingredientes,4704,plural of ingrediente,noun
extensión,4705,tract (an area),noun
sociedades,4706,plural of sociedad,noun
culturales,4707,you cultivate,verb
viniera,4708,I came,verb
volvieron,4709,they returned,verb
aclarar,4710,to clarify,verb
fallo,4711,mistake,noun
instalación,4712,installation (process),noun
femenina,4713,feminine singular of femenino,adj
maria,4714,,
