lemma,rank,translation,pos
promoción,4534,promotion,Noun
bromas,4535,joke; prank; practical joke,Noun
hallar,4536,to find something,Verb
muertes,4537,death,Noun
particularmente,4538,particularly,Adverb
presa,4539,dam; reservoir,Noun
entré,4540,I entered,Verb
investigadores,4541,researching; investigating,Adjective
quedarnos,4542,to be,Verb
dedicado,4543,dedicated,Adjective
bajos,4544,short,Adjective
autorización,4545,authorization,Noun
vecindario,4546,neighbourhood,Noun
advertencia,4547,warning,Noun
cima,4548,top,Noun
realización,4549,realization; actualization,Noun
conocerlo,4550,to know,Verb
importaba,4551,I mattered,Verb
patas,4552,devil; Satan,Noun
cole,4553,school,Noun
adolescentes,4554,adolescent,Adjective
comunicado,4555,statement; communiqué,Noun
pediste,4556,you asked for something,Verb
tejido,4557,texture,Noun
margaret,4558,,
líquido,4559,liquid,Adjective
consideran,4560,they consider,Verb
aves,4561,bird,Noun
satisfacción,4562,satisfaction,Noun
empecemos,4563,we start,Verb
repetir,4564,to repeat ),Verb
retraso,4565,delay,Noun
llamarte,4566,to summon,Verb
orquesta,4567,orchestra,Noun
intentamos,4568,we tried,Verb
billete,4569,bill; banknote,Noun
ponerle,4570,to have sex,Verb
agregó,4571,he added; she added; it added,Verb
mereces,4572,you deserve,Verb
próximas,4573,near,Adjective
esperaré,4574,I will hope,Verb
hígado,4575,liver,Noun
enfadada,4576,angry; irate,Adjective
recordó,4577,he remembered; she remembered; it remembered,Verb
habrán,4578,they will have,Verb
núcleo,4579,nucleus,Noun
grita,4580,shouting match,Noun
aérea,4581,aerial,Adjective
clinton,4582,,
índice,4583,index,Noun
cometer,4584,to commit,Verb
bodas,4585,wedding,Noun
ruiz,4586,,
vela,4587,candle,Noun
constitucional,4588,constitutional,Adjective
coro,4589,choir,Noun
campesinos,4590,rural,Adjective
ee.uu.,4591,,
cuentos,4592,story,Noun
payaso,4593,clownish; buffoonlike,Adjective
raúl,4594,,
fruta,4595,fruit,Noun
turismo,4596,tourism,Noun
gilipollas,4597,silly; fatheaded,Adjective
empiezo,4598,start,Noun
nieto,4599,grandson; grandchild,Noun
béisbol,4600,baseball,Noun
fingir,4601,to pretend,Verb
establecido,4602,established,Adjective
revisión,4603,revision,Noun
inmunidad,4604,immunity,Noun
mecanismo,4605,mechanism,Noun
cocaína,4606,cocaine,Noun
impedir,4607,to impede,Verb
organizar,4608,to organize,Verb
vera,4609,side; face,Noun
estupidez,4610,stupidity,Noun
negó,4611,he denied; she denied; it denied,Verb
querrás,4612,you will desire,Verb
trasera,4613,back; back-side; rear-side; posterior,Adjective
continua,4614,constant; continual,Adjective
hayamos,4615,we have,Verb
rechazo,4616,refusal,Noun
textos,4617,text,Noun
prometió,4618,he promised; she promised; it promised,Verb
tranquilos,4619,calm; quiet; peaceful; tranquil,Adjective
existir,4620,to exist,Verb
egoísta,4621,egotistic,Adjective
típico,4622,typical,Adjective
williams,4623,,
váyanse,4624,they go,Verb
jersey,4625,sweater; pullover,Noun
quinta,4626,villa; country home,Noun
prefiere,4627,you prefer,Verb
equipaje,4628,luggage,Noun
duros,4629,hard,Adjective
individual,4630,case-by-case,Adjective
financiero,4631,financial,Adjective
numerosos,4632,numerous,Adjective
causar,4633,to cause,Verb
dijimos,4634,we said,Verb
monstruos,4635,beast; monster; behemoth,Noun
internos,4636,internal,Adjective
papas,4637,pope,Noun
conejo,4638,cony; coney; rabbit,Noun
jessica,4639,,
sepan,4640,they know,Verb
matará,4641,he will kill; she will kill; it will kill,Verb
ubicación,4642,position; location,Noun
tomaron,4643,they took,Verb
explotar,4644,to exploit,Verb
opiniones,4645,opinion,Noun
evitarlo,4646,to avoid,Verb
activa,4647,active,Adjective
bienestar,4648,welfare; well-being,Noun
terrorismo,4649,terrorism,Noun
echó,4650,he throwed; she throwed; it throwed,Verb
parecían,4651,they seemed,Verb
planos,4652,plane; level,Adjective
enojada,4653,mad; angry,Adjective
composición,4654,composition,Noun
salario,4655,wage; wages; salary,Noun
viera,4656,I saw,Verb
haberla,4657,to have,Verb
putas,4658,the fuck,Adverb
premios,4659,prize; award,Noun
latina,4660,Italy; of Lazio,Noun
virtud,4661,virtue,Noun
pasaporte,4662,passport,Noun
acento,4663,accent,Noun
agricultura,4664,farming; agriculture,Noun
batería,4665,large and rechargeable battery,Noun
prostituta,4666,prostitute,Noun
informar,4667,to inform,Verb
ensalada,4668,salad,Noun
productor,4669,producing,Adjective
costó,4670,he costed; she costed; it costed,Verb
colina,4671,hill,Noun
patrulla,4672,patrol,Noun
funcionario,4673,official; public official,Noun
estructuras,4674,structure,Noun
hacerla,4675,to do,Verb
habia,4676,,
vencer,4677,to defeat,Verb
activo,4678,active,Adjective
propuestas,4679,proposal,Noun
váyase,4680,he goes; she goes; it goes,Verb
esencia,4681,essence,Noun
ala,4682,wing,Noun
cómoda,4683,chest of drawers,Noun
perdidos,4684,lost,Adjective
democrática,4685,democratic,Adjective
descubrí,4686,you discover,Verb
inició,4687,he began; she began; it began,Verb
camarada,4688,comrade,Noun
señoritas,4689,young woman,Noun
parto,4690,labor; childbirth,Noun
cueva,4691,cave,Noun
tomaste,4692,you took,Verb
unidas,4693,united,Adjective
almorzar,4694,to eat lunch,Verb
extremadamente,4695,extremely,Adverb
habrías,4696,you would have,Verb
dirigido,4697,directed,Adjective
perdedor,4698,losing,Adjective
acceder,4699,to accede,Verb
dibujos,4700,drawing,Noun
consideración,4701,consideration,Noun
poli,4702,polyamorous,Adjective
buscarlo,4703,to seek,Verb
ingredientes,4704,ingredient,Noun
extensión,4705,tract,Noun
sociedades,4706,society; social order,Noun
culturales,4707,culture,Adjective
viniera,4708,I came,Verb
volvieron,4709,they returned,Verb
aclarar,4710,to clarify,Verb
fallo,4711,mistake,Noun
instalación,4712,installation,Noun
femenina,4713,,
maria,4714,,
mercedes,4715,mercy,Noun
civilización,4716,civilization,Noun
bandas,4717,band,Noun
huella,4718,footprint,Noun
construido,4719,constructed,Adjective
llevé,4720,I took,Verb
francamente,4721,frankly,Adverb
lana,4722,wool,Noun
instinto,4723,instinct,Noun
estrés,4724,stress,Noun
empiece,4725,start,Noun
cumple,4726,birthday,Noun
maletas,4727,suitcase,Noun
camarero,4728,waiter,Noun
alemana,4729,German,Noun
practicar,4730,to practice,Verb
legales,4731,you hand down,Verb
traes,4732,you bring,Verb
lector,4733,reading,Adjective
incómodo,4734,uncomfortable,Adjective
rival,4735,adverse,Adjective
recoge,4736,you collect,Verb
basado,4737,based,Adjective
estudiando,4738,studying,Verb
presos,4739,imprisoned,Adjective
kenny,4740,,
asesinada,4741,slain; murdered,Adjective
demasiados,4742,excessive; too much; too many,Adjective
niñera,4743,babysitter,Noun
rabia,4744,rage; anger,Noun
continente,4745,continent,Noun
copas,4746,glass; stemmed glass; goblet or its content,Noun
quedando,4747,being,Verb
logro,4748,success; attainment; achievement; accomplishment,Noun
empiezan,4749,they start,Verb
vivió,4750,he lived; she lived; it lived,Verb
hilo,4751,yarn; thread; string,Noun
callejón,4752,alley; side street,Noun
garantía,4753,guarantee,Noun
misa,4754,mass,Noun
comedia,4755,comedy,Noun
deudas,4756,debt,Noun
señalar,4757,to signal,Verb
analizar,4758,to analyze,Verb
responsabilidades,4759,responsibility; responsibleness,Noun
causado,4760,caused,Verb
arreglarlo,4761,to fix,Verb
incapaz,4762,unable; incapable,Adjective
matan,4763,they kill,Verb
notable,4764,remarkable; noteworthy; noticeable,Adjective
comedor,4765,dining room,Noun
guatemala,4766,,
llenar,4767,to fill something up,Verb
morales,4768,you reside,Verb
argentino,4769,Argentine; Argentinian,Adjective
correspondiente,4770,respective,Adjective
tarta,4771,pie; tart,Noun
visual,4772,,
corbata,4773,tie; necktie,Noun
crece,4774,you grow,Verb
seca,4775,dry,Adjective
darán,4776,they will give,Verb
llamarlo,4777,to summon,Verb
herencia,4778,heredity; inheritance,Noun
auxilio,4779,aid; help,Noun
cerró,4780,he closed; she closed; it closed,Verb
asistir,4781,to attend,Verb
jesucristo,4782,,
harvey,4783,,
sentarme,4784,to seat,Verb
femenino,4785,feminine,Adjective
joseph,4786,,
pagaré,4787,IOU; promissory note,Noun
ingleses,4788,English,Adjective
obispo,4789,bishop,Noun
queridos,4790,sweetheart,Adjective
solidaridad,4791,solidarity,Noun
juzgar,4792,to judge,Verb
demasiadas,4793,excessive; too much; too many,Adjective
vendrán,4794,they will come,Verb
gasto,4795,cost; expenditure,Noun
alimento,4796,food,Noun
guantes,4797,glove,Noun
deberán,4798,they will owe,Verb
cuyas,4799,whose,Determiner
mago,4800,magician,Adjective
tuvieras,4801,you had,Verb
subió,4802,he raised; she raised; it raised,Verb
utilización,4803,utilization,Noun
enterado,4804,know-it-all,Noun
vidrio,4805,glass,Noun
prioridad,4806,priority,Noun
regular,4807,to regulate,Verb
plataforma,4808,platform,Noun
alivio,4809,relief,Noun
bailando,4810,dancing,Verb
desafortunadamente,4811,regrettably; unfortunately,Adverb
aumenta,4812,you increase,Verb
ayudaré,4813,I will help,Verb
destruido,4814,destroyed,Adjective
enhorabuena,4815,congratulations,interjection
deportivo,4816,sports; sportive,Adjective
sebastián,4817,,
vicente,4818,,
coartada,4819,alibi,Noun
católica,4820,Catholic,Noun
stephen,4821,,
formal,4822,reliable; dependable,Adjective
trono,4823,throne,Noun
cumbre,4824,top; peak; summit; hilltop,Noun
engañar,4825,to trick,Verb
llegaba,4826,I arrived,Verb
maquillaje,4827,makeup,Noun
steven,4828,,
velas,4829,candle,Noun
sentidos,4830,heartfelt; deeply felt,Adjective
bomberos,4831,firefighter,Noun
opinas,4832,you think,Verb
hipótesis,4833,hypothesis,Noun
presidencial,4834,presidential,Adjective
pecados,4835,sin,Noun
volvía,4836,I returned,Verb
fea,4837,ugly,Adjective
miré,4838,I looked at,Verb
medalla,4839,medal,Noun
rincón,4840,angle; corner,Noun
sentados,4841,seated,Adjective
oculta,4842,occult,Adjective
sindicatos,4843,trade union,Noun
fascinante,4844,fascinating,Adjective
cañón,4845,canyon,Noun
préstamo,4846,loan,Noun
publicado,4847,published,Verb
escritura,4848,deed; document,Noun
suiza,4849,Swiss,Noun
peleas,4850,fight; brawl,Noun
reservas,4851,booking; reservation,Noun
necesarios,4852,necessary; requisite,Adjective
renta,4853,income,Noun
reconoció,4854,he recognized; she recognized; it recognized,Verb
tigre,4855,tiger,Noun
ganamos,4856,we gained,Verb
acostumbrado,4857,customary,Adjective
rota,4858,broken,Noun
lima,4859,lime,Noun
rumor,4860,murmur,Noun
cuartos,4861,quarterfinals; quarter finals,Noun
envié,4862,I sent,Verb
tranquilidad,4863,tranquility,Noun
dejame,4864,I leave,Verb
mágico,4865,magic; magical,Adjective
fortaleza,4866,fortress,Noun
satisfecho,4867,satisfied,Adjective
pedirte,4868,to ask for something,Verb
creciente,4869,growing; increasing,Adjective
ponerlo,4870,to put,Verb
rojos,4871,red,Adjective
sujetos,4872,held; grasped,Adjective
cortés,4873,polite; courteous,Adjective
horror,4874,terror,Noun
botellas,4875,bottle,Noun
alcanzado,4876,in debt,Adjective
bosques,4877,forest,Noun
tanque,4878,tank,Noun
editorial,4879,publisher,Noun
invisible,4880,,
encontrarse,4881,to meet,Verb
músculos,4882,muscle tissue,Noun
accidentes,4883,accident,Noun
disfruta,4884,you enjoy,Verb
intenso,4885,strong; intense,Adjective
balón,4886,ball,Noun
crecido,4887,grown,Adjective
tesis,4888,thesis,Noun
encontrarás,4889,you will meet,Verb
minas,4890,mine,Noun
queja,4891,gripe; grumble; complaint; grievance,Noun
soltero,4892,single; unmarried,Adjective
agradecido,4893,obliged; grateful; thankful; appreciative,Adjective
alimentación,4894,feeding,Noun
previamente,4895,previously,Adverb
universidades,4896,college,Noun
liberal,4897,libertarian,Adjective
negras,4898,black,Adjective
ventajas,4899,edge; advantage; upper hand,Noun
recibiendo,4900,receiving,Verb
recientes,4901,recent,Adjective
tratas,4902,trade; trafficking; slave trade,Noun
espectacular,4903,spectacular,Adjective
gil,4904,dumb; naive; dummy; innocent,Adjective
descansa,4905,you rest,Verb
generaciones,4906,generation,Noun
verdaderos,4907,true; real,Adjective
ford,4908,,
renuncia,4909,resignation,Noun
negativa,4910,refusal,Noun
tenis,4911,tennis,Noun
federales,4912,you federate,Verb
copias,4913,copy,Noun
granada,4914,pomegranate,Noun
sabiduría,4915,wisdom,Noun
serías,4916,you would be,Verb
testamento,4917,will; testament,Noun
cercana,4918,near; close; nearby,Adjective
doctores,4919,you give,Verb
cuero,4920,leather,Noun
miseria,4921,misery,Noun
háblame,4922,I talk,Verb
receta,4923,prescription,Noun
lata,4924,can; tin; canister; tin can,Noun
mia,4925,,
irene,4926,,
cadenas,4927,chain,Noun
aznar,4928,,
contratos,4929,contract; agreement,Noun
técnicamente,4930,technically,Adverb
gano,4931,I gain,Verb
apaga,4932,you extinguish,Verb
añade,4933,you augment,Verb
vendedor,4934,salesman,Noun
dirigente,4935,ruling; leading,Adjective
vendiendo,4936,selling,Verb
entran,4937,they enter,Verb
permanece,4938,you stay,Verb
notado,4939,noted,Verb
jugada,4940,play; move,Noun
chinos,4941,Chinese,Adjective
rusa,4942,Russian,Noun
atractiva,4943,appealing; attractive,Adjective
duración,4944,length; duration,Noun
caray,4945,wow; golly; crikey; good heavens,interjection
atacó,4946,he attacked; she attacked; it attacked,Verb
detención,4947,arrest,Noun
marte,4948,,
mínima,4949,minimal,Adjective
presidenta,4950,president,Noun
robot,4951,,
lavar,4952,to wash,Verb
aprovechar,4953,to make use of,Verb
delgado,4954,thin; skinny,Adjective
votación,4955,vote; voting,Noun
sospechosos,4956,fishy; shady; suspect; suspicious,Adjective
cabina,4957,cabin,Noun
debían,4958,they owed,Verb
simples,4959,,
automóvil,4960,automobile,Noun
bloque,4961,bloc,Noun
comentó,4962,he commented; she commented; it commented,Verb
fianza,4963,suretyship,Noun
arruinar,4964,to ruin,Verb
celos,4965,jealousy,Noun
volviste,4966,you returned,Verb
acercó,4967,he brought close; she brought close; it brought close,Verb
sabrás,4968,you will know,Verb
síndrome,4969,syndrome,Noun
young,4970,,
funcionará,4971,he will work; she will work; it will work,Verb
inevitable,4972,inescapable; unavoidable,Adjective
violento,4973,violent,Adjective
fechas,4974,date,Noun
dirigida,4975,directed,Adjective
faltaba,4976,I was lacking,Verb
avanzar,4977,to advance happen at an earlier time or date),Verb
gabinete,4978,cabinet,Noun
robaron,4979,they robed,Verb
trajes,4980,suit,Noun
fresca,4981,fresh,Adjective
almirante,4982,admiral,Noun
ansiedad,4983,anxiety,Noun
servirá,4984,he will serve; she will serve; it will serve,Verb
alejado,4985,far; faraway; distant,Adjective
comprensión,4986,comprehension,Noun
casó,4987,he married; she married; it married,Verb
mostraré,4988,I will show,Verb
pierdes,4989,you lose,Verb
totalidad,4990,all; whole,Noun
radiación,4991,radiation,Noun
interrumpir,4992,to interrupt,Verb
protagonista,4993,star; protagonist,Noun
salvajes,4994,wild; savage,Adjective
inmediata,4995,immediate,Adjective
protocolo,4996,protocol,Noun
limón,4997,lemon,Noun
hermosas,4998,lovely; gorgeous; handsome; beautiful,Adjective
mantenido,4999,kept; sustained by alimony,Adjective
gallina,5000,hen,Noun
pongan,5001,they put,Verb
juguetes,5002,toy,Noun
positiva,5003,positive,Adjective
cortado,5004,choppy; disconnected,Adjective
ganando,5005,gaining,Verb
separados,5006,apart; separated,Adjective
guerras,5007,war; warfare,Noun
escoger,5008,to choose,Verb
certeza,5009,certainty,Noun
manifestación,5010,protest; demonstration,Noun
digno,5011,worthy,Adjective
llamados,5012,call,Adjective
brillantes,5013,shiny; bright; lustrous; brilliant,Adjective
mataría,5014,I would kill,Verb
cayendo,5015,falling,Verb
rubio,5016,blond,Adjective
auténtica,5017,real; true; authentic,Adjective
cambian,5018,they change,Verb
procedimientos,5019,procedure,Noun
hugo,5020,,
cargar,5021,to load ),Verb
invitó,5022,he invited; she invited; it invited,Verb
jugado,5023,experienced,Adjective
circuito,5024,circuit,Noun
redacción,5025,essay; composition,Noun
romance,5026,love affair,Noun
imaginé,5027,I imagined,Verb
justa,5028,tournament,Noun
apoyar,5029,to lean,Verb
comunistas,5030,communist,Adjective
cantidades,5031,a lot,Adverb
hacernos,5032,to do,Verb
apunta,5033,you point,Verb
golpeado,5034,hit; beaten,Adjective
interesantes,5035,interesting,Adjective
japonés,5036,Japanese; of Japan,Adjective
eventos,5037,event,Noun
supervivencia,5038,survival,Noun
sonidos,5039,sound; noise,Noun
existía,5040,I existed,Verb
componentes,5041,component,Adjective
nicaragua,5042,,
conclusiones,5043,opinion,Noun
macho,5044,male,Adjective
discúlpame,5045,I excuse,Verb
transformación,5046,transformation,Noun
camiones,5047,lorry; truck,Noun
michelle,5048,,
conseguiré,5049,I will achieve,Verb
insistió,5050,he insisted; she insisted; it insisted,Verb
democrático,5051,democratic,Adjective
estacionamiento,5052,parking,Noun
homenaje,5053,homage; tribute,Noun
jaula,5054,cage,Noun
ancianos,5055,elderly,Adjective
estarían,5056,they would be,Verb
pensión,5057,guesthouse; boarding house,Noun
confundido,5058,addled; confused,Adjective
tomás,5059,you take,Verb
satélite,5060,satellite,Noun
ponemos,5061,we put,Verb
conceptos,5062,concept,Noun
disculparme,5063,to excuse,Verb
tiró,5064,he throwed; she throwed; it throwed,Verb
alfombra,5065,rug; carpet,Noun
pares,5066,even,Adjective
contaba,5067,I counted,Verb
logra,5068,you get,Verb
jacob,5069,,
miran,5070,they look at,Verb
armadas,5071,armed,Adjective
ficción,5072,fiction,Noun
corea,5073,chorea,Noun
contestó,5074,he replied; she replied; it replied,Verb
rollo,5075,roll,Noun
específico,5076,specific,Adjective
tela,5077,cloth; fabric,Noun
trabajador,5078,hard-working,Adjective
so,5079,you,Pronoun
tuyos,5080,yours,Determiner
toros,5081,bull,Noun
planeando,5082,planing,Verb
consuelo,5083,solace,Noun
elaboración,5084,production; elaboration,Noun
apartado,5085,remote; isolated,Adjective
creciendo,5086,growing,Verb
débiles,5087,weak,Adjective
reconocido,5088,recognized; acknowledged,Adjective
australia,5089,,
acusaciones,5090,accusation,Noun
mencionado,5091,mentioned,Verb
engaño,5092,fraud; deceit,Noun
efectivamente,5093,indeed; quite right,Adverb
guay,5094,cool; terrific,interjection
manifestaciones,5095,protest; demonstration,Noun
confirmar,5096,to confirm,Verb
norteamericana,5097,North American,Noun
asientos,5098,seat,Noun
transición,5099,transition,Noun
primaria,5100,primary school; primary schooling,Noun
corrientes,5101,flowing; running,Adjective
pinturas,5102,painting,Noun
dormida,5103,sleep,Noun
novedad,5104,novelty,Noun
ascenso,5105,promotion,Noun
cogió,5106,he took; she took; it took,Verb
ruptura,5107,rupture,Noun
eeuu,5108,,
relato,5109,story,Noun
servido,5110,served,Verb
expresar,5111,to express,Verb
sencilla,5112,plain,Adjective
seguí,5113,you follow,Verb
justamente,5114,justly; fairly; fair and square,Adverb
deberes,5115,to owe,Noun
muelle,5116,soft; mild,Adjective
nacer,5117,to be born,Verb
pechos,5118,thorax,Noun
ave,5119,bird,Noun
jonathan,5120,,
circulación,5121,traffic; movement,Noun
llenos,5122,full,Adjective
radical,5123,seismic,Adjective
aceptó,5124,he accepted; she accepted; it accepted,Verb
motores,5125,moving,Adjective
religiosa,5126,religious,Adjective
propone,5127,he proposes; she proposes; it proposes,Verb
champán,5128,champan,Noun
conforme,5129,in agreement,Adjective
llevarse,5130,to take,Verb
algun,5131,,
bajando,5132,going down,Verb
pedimos,5133,we asked for something,Verb
duelo,5134,sorrow,Noun
sugiere,5135,you suggest,Verb
estancia,5136,stay; sojourn; residence,Noun
cerdos,5137,dirty,Adjective
cobrar,5138,to charge,Verb
pacífico,5139,peaceful,Adjective
separación,5140,separation,Noun
productores,5141,producing,Adjective
estúpidos,5142,stupid,Adjective
masas,5143,dough,Noun
baila,5144,you dance,Verb
pintar,5145,to paint,Verb
sensibilidad,5146,sensibility,Noun
cráneo,5147,skull; cranium,Noun
francis,5148,,
extraordinaria,5149,extraordinary,Adjective
rodeado,5150,rounded up,Verb
resumen,5151,summary; abstract,Noun
cazador,5152,hunting,Adjective
conocerla,5153,to know,Verb
pregúntale,5154,you ask,Verb
agresión,5155,aggression,Noun
ética,5156,ethic,Noun
ropas,5157,robes; garment; clothes; clothing,Noun
tortura,5158,torture,Noun
ganancias,5159,gain; profit; earnings,Noun
tómalo,5160,you take,Verb
evidentemente,5161,clearly; evidently; obviously,Adverb
keith,5162,,
seguiré,5163,I will follow,Verb
secuencia,5164,sequence,Noun
apostar,5165,to bet,Verb
llora,5166,you cry,Verb
bretaña,5167,,
porquería,5168,crap; junk; trash; filth,Noun
regresado,5169,returned,Verb
tomes,5170,you take,Verb
joaquín,5171,,
destinado,5172,destined; predestined,Adjective
gustar,5173,to taste,Verb
reverendo,5174,revered; reverend,Adjective
rasgos,5175,act; stroke; flourish,Noun
hospitales,5176,,
direcciones,5177,direction,Noun
preso,5178,imprisoned,Adjective
contarle,5179,to count,Verb
órgano,5180,organ,Noun
conflictos,5181,conflict,Noun
rehabilitación,5182,rehabilitation,Noun
aplicar,5183,to use,Verb
clásica,5184,classic; classical,Adjective
escapado,5185,runaway,Adjective
coca,5186,Coke,Noun
historial,5187,record; history,Noun
desorden,5188,disorder,Noun
fusión,5189,fusion,Noun
lesiones,5190,lesion; injury,Noun
provocar,5191,to cause or provoke,Verb
soluciones,5192,solution,Noun
caramba,5193,gee; gosh; shucks; blimey,interjection
pérdidas,5194,loss,Noun
trucos,5195,ploy; trick; gimmick,Noun
choque,5196,collision,Noun
fiscalía,5197,public prosecutors office,Noun
porno,5198,porn,Noun
asesina,5199,murderous; homicidal,Noun
formado,5200,formed,Verb
aliados,5201,allied,Adjective
correctamente,5202,correctly,Adverb
colectivo,5203,collective,Adjective
fundamentales,5204,,
especialista,5205,specialist,Noun
nelson,5206,synonym of nel,Adverb
armados,5207,armed,Adjective
ignacio,5208,,
orientación,5209,orientation,Noun
reporte,5210,report,Noun
angustia,5211,agony; anguish,Noun
lidiar,5212,to fight,Verb
alli,5213,,
escrita,5214,skate,Noun
manual,5215,,
ruth,5216,,
cazar,5217,to hunt,Verb
eficaz,5218,efficacious,Adjective
interesada,5219,interested,Adjective
moreno,5220,dark-colored,Adjective
piden,5221,they ask for something,Verb
dennis,5222,,
estabilidad,5223,stability,Noun
frases,5224,phrase,Noun
numerosas,5225,numerous,Adjective
compasión,5226,compassion,Noun
sacarlo,5227,to put out,Verb
subiendo,5228,raising,Verb
variedad,5229,variety,Noun
expectativas,5230,expectation,Noun
peleando,5231,fighting,Verb
hechas,5232,done; completed,Adjective
ángulo,5233,angle,Noun
españolas,5234,Spanish,Adjective
ratón,5235,mouse,Noun
atentado,5236,bombing; violent attack,Noun
parientes,5237,relative; relation,Noun
cobertura,5238,cover,Noun
retirada,5239,withdrawal,Noun
sabio,5240,learned,Adjective
patrimonio,5241,estate; property,Noun
envío,5242,sending; shipment,Noun
acompañado,5243,side dish,Noun
costumbres,5244,habit,Noun
empresario,5245,businessman,Noun
reunir,5246,to gather,Verb
brujas,5247,witch; sorceress,Noun
desesperado,5248,desperate,Adjective
sello,5249,seal; sigil,Noun
cristiano,5250,Christian,Adjective
norman,5251,they norm,Verb
vietnam,5252,,
entramos,5253,we entered,Verb
pluma,5254,feather,Noun
encontrarme,5255,to meet,Verb
carbón,5256,coal,Noun
antiguas,5257,old; former; quondam; erstwhile,Adjective
informa,5258,you inform,Verb
patético,5259,pathetic,Adjective
claras,5260,clear; easily understood,Adjective
mecanismos,5261,mechanism,Noun
contaré,5262,I will count,Verb
escritores,5263,writer,Noun
financiera,5264,finance company; financier company,Noun
canales,5265,flume; waterway,Noun
usarlo,5266,to use,Verb
frutas,5267,fruit,Noun
deseaba,5268,I wished,Verb
refuerzos,5269,reinforcement,Noun
vestida,5270,dressed,Adjective
gota,5271,a drop or small amount of,Noun
estaciones,5272,station,Noun
molestar,5273,to bother,Verb
abuso,5274,abuse,Noun
arquitectura,5275,architecture,Noun
encargaré,5276,I will entrust,Verb
norteamericanos,5277,North American,Adjective
prometiste,5278,you promised,Verb
seda,5279,silk,Noun
exclusivamente,5280,exclusively,Adverb
barro,5281,mud,Noun
entidades,5282,entity,Noun
espíritus,5283,soul; spirit,Noun
seriamente,5284,seriously,Adverb
white,5285,,
detenerlo,5286,to detain,Verb
mexicana,5287,compare mexiquense),Noun
paris,5288,,
redes,5289,social media,Noun
castilla,5290,,
éi,5291,,
pescar,5292,to fish,Verb
terribles,5293,awful; horrible,Adjective
registrado,5294,registered,Verb
desarrollado,5295,developed,Verb
enviaré,5296,I will send,Verb
bajó,5297,he went down; she went down; it went down,Verb
perdieron,5298,they lost,Verb
menú,5299,menu,Noun
entenderlo,5300,to understand,Verb
mantenerse,5301,to keep,Verb
obliga,5302,you force,Verb
entregó,5303,he delivered; she delivered; it delivered,Verb
promesas,5304,promise,Noun
vientre,5305,abdomen,Noun
besos,5306,kiss,Noun
eterna,5307,eternal,Adjective
afortunadamente,5308,luckily; fortunately,Adverb
manzanas,5309,butterfingers,Noun
generoso,5310,generous,Adjective
basada,5311,based,Adjective
habana,5312,Havanan,Adjective
conseguirlo,5313,to achieve,Verb
jennifer,5314,,
conduciendo,5315,driving,Verb
aprendizaje,5316,learning,Noun
cenizas,5317,ash,Adjective
miente,5318,he mentions; she mentions; it mentions,Verb
tenerte,5319,to have,Verb
descenso,5320,descent,Noun
pulmones,5321,lung,Noun
suponer,5322,to suppose,Verb
am,5323,a.m,Adverb
rodilla,5324,knee,Noun
cebolla,5325,onion,Noun
mías,5326,mine; of mine,Determiner
molestia,5327,bother; trouble; nuisance; inconvenience,Noun
frecuente,5328,frequent,Adjective
importan,5329,they matter,Verb
ola,5330,wave,Noun
nube,5331,cloud,Noun
invasión,5332,invasion,Noun
juguete,5333,toy,Noun
cafetería,5334,café; coffeehouse; coffee shop,Noun
manifiesto,5335,clear; manifest; apparent,Adjective
llegaremos,5336,we will arrive,Verb
colgar,5337,to hang,Verb
saque,5338,expulsion; extraction; act of putting something out,Noun
eternidad,5339,eternity,Noun
elige,5340,you choose,Verb
esconder,5341,to hide,Verb
pa,5342,pop; papa; clipping of papá: dad,Noun
sorprendió,5343,he surprised; she surprised; it surprised,Verb
centímetros,5344,centimetre,Noun
vampiro,5345,vampire,Noun
pendientes,5346,pending; unfinished; outstanding,Adjective
separado,5347,apart; separated,Adjective
eligió,5348,he choosed; she choosed; it choosed,Verb
provoca,5349,you cause or provoke,Verb
enteré,5350,I informed,Verb
humanas,5351,human,Adjective
establecimiento,5352,establishment,Noun
soltera,5353,bachelorette,Noun
declarar,5354,to declare,Verb
clasificación,5355,classification,Noun
competir,5356,to compete,Verb
incluido,5357,included; supplied,Adjective
vigilando,5358,watching over,Verb
owen,5359,,
facilidad,5360,ease,Noun
hacías,5361,you did,Verb
comparación,5362,comparison,Noun
enviaron,5363,they sent,Verb
bromeas,5364,you joke,Verb
ofrecen,5365,they offer,Verb
fantástica,5366,fantastic,Adjective
fruto,5367,edible or not; whether sweet or not; any fruit from a plant,Noun
alejandro,5368,,
garantizar,5369,to guarantee,Verb
esquema,5370,outline,Noun
equivocas,5371,you mistake,Verb
ayudo,5372,I help,Verb
piénsalo,5373,you think,Verb
bonitas,5374,cute; pretty,Adjective
ocupados,5375,occupied,Adjective
vano,5376,vain,Adjective
fronteras,5377,opposite,Adjective
maya,5378,Mayan,Adjective
detenidos,5379,arrested,Adjective
psiquiatra,5380,psychiatrist,Noun
soñando,5381,dreaming,Verb
bahía,5382,bay,Noun
detectives,5383,,
japoneses,5384,Japanese; of Japan,Adjective
casino,5385,canteen; cafeteria,Noun
necesarias,5386,necessary; requisite,Adjective
pertenecen,5387,they belong,Verb
semillas,5388,seed,Noun
fabuloso,5389,myth; fable; legend; fabulous,Adjective
averiguarlo,5390,to find out,Verb
