rank,lemma,word,old_sentence,failure_reason
2243,acuerdas,acuerdas,Cómo que no te acuerdas mamá.,retrieved_raw
2244,tono,tono,Con el tono por favor.,retrieved
2245,demonio,demonio,Por un demonio que lo harás.,retrieved
2247,novela,novela,De la reina de la novela rosa.,retrieved
2248,explica,explica,Bueno eso explica las extrañas marcas de mordidas.,retrieved_raw
2249,concepto,concepto,Concepto apoyo a la familia.,retrieved
2251,gratis,gratis,Es por eso que les doy muestras gratis.,retrieved_raw
2252,cámaras,cámaras,Recuerda esta noche estás de guardia por las cámaras del príncipe.,retrieved
2254,azúcar,azúcar,Tengo un poco de azúcar.,retrieved_raw
2255,privada,privada,Su esposa es maestra en una escuela privada.,retrieved_raw
2257,compra,compra,Por experiencia sé que el dinero lo compra todo.,retrieved
2258,primo,primo,De mi primo de mi hermana.,retrieved
2259,mata,mata,No lo sé bueno me mata.,retrieved_raw
2261,amante,amante,Ya ha tenido un amante.,retrieved
2262,imagino,imagino,Me imagino que sí sí.,retrieved_raw
2263,tierras,tierras,Las tierras que nuestras hermanas han entregado como sus dotes.,retrieved
2264,creemos,creemos,Creemos que se dirigen hacia londres.,retrieved
2266,cientos,cientos,Junto con cientos de miles de personas.,retrieved
2267,americano,americano,Un hombre lobo americano en londres.,retrieved_raw
2268,niveles,niveles,Su gobierno estaba corrupto a todos los niveles.,retrieved
2273,fondos,fondos,Entra todo en sus fondos secretos.,retrieved
2274,famoso,famoso,Es un famoso asesino en serie.,retrieved_raw
2275,diste,diste,Ya me diste las gracias.,retrieved_raw
2276,impresionante,impresionante,Cuál es el más impresionante.,retrieved_raw
2277,sienta,sienta,Mejor no hablar de eso hasta que ella se sienta mejor.,retrieved_raw
2278,tomé,tomé,Yo ya tomé una taza.,retrieved_raw
2279,marzo,marzo,Por resolución de de marzo de dogc núm.,retrieved
2280,amistad,amistad,El poder de la amistad.,retrieved
2282,bienvenidos,bienvenidos,Bienvenidos a la única vía al cielo.,retrieved_raw
2283,contenido,contenido,Contenido de la protección internacional.,retrieved_raw
2284,querían,querían,Lo que no entiendo es que si sólo querían los archivos.,unlinked_finite_verbs
2285,intentado,intentado,Estaba intentado buscar la manera de volver a esta familia.,retrieved
2288,sepas,sepas,Quiero que sepas con quién está tratando.,retrieved_raw
2289,vieron,vieron,Los testigos describen que vieron a la misma mujer.,retrieved_raw
2291,prácticamente,prácticamente,Bueno eso lo explica prácticamente casi nada.,retrieved
2292,distintas,distintas,Las cosas serán distintas cuando seas mayor.,retrieved_raw
2293,perdiendo,perdiendo,No creo que estoy perdiendo la memoria.,retrieved_raw
2294,l,l,Queda aprobado el proyecto de resolución a c l.,retrieved_raw
2295,hubieras,hubieras,Creo que le hubieras agradado.,retrieved_raw
2297,ciudades,ciudades,En el año nuevo infiltraremos todas las ciudades y las atacaremos al mismo tiempo.,retrieved_raw
2300,saca,saca,Creo que saca la información del banco.,retrieved_raw
2302,apareció,apareció,La enfermedad apareció de nuevo.,retrieved_raw
2303,droga,droga,Mira tus ojos muerto por la droga.,retrieved
2304,éstos,éstos,Crees que dios nos ha dado éstos poderes.,retrieved_raw
2305,notas,notas,Qué pasa con él y sus notas.,retrieved
2306,transporte,transporte,Para el transporte de los trabajadores.,retrieved
2308,cultural,cultural,Hoy día qué entendemos por identidad cultural.,retrieved_raw
2309,cae,cae,En silencio cae sobre la tierra.,retrieved_raw
2310,cura,cura,Sé que está detrás de la cura.,retrieved
2311,actor,actor,Qué pasa si el actor principal cuál es su nombre.,retrieved
2312,presentar,presentar,Se invita a presentar resúme nes a más tardar el de octubre de.,dangling_function_word
2313,consecuencias,consecuencias,Nadie entiende las consecuencias mejor que yo.,retrieved
2315,jugadores,jugadores,Mañana en la noche detrás de los jugadores.,retrieved
2317,preciosa,preciosa,Es la cosa más preciosa que he visto en toda mi vida.,retrieved_raw
2320,india,india,El ministerio de relaciones exteriores india.,retrieved
2322,desapareció,desapareció,Tengo un hijo que desapareció.,retrieved_raw
2323,llevará,llevará,Nos llevará a la quiebra.,retrieved_raw
2327,firme,firme,Por eso tuve que ponerme firme.,retrieved_raw
2328,noviembre,noviembre,El de noviembre del fui sacrificado.,retrieved
2330,dejan,dejan,Los violadores en serie no lo dejan repentinamente.,retrieved
2331,fueran,fueran,No no les dije que se fueran.,retrieved_raw
2332,querría,querría,Quién querría ir a la reunión familiar de otra persona.,retrieved_raw
2335,pasé,pasé,Me pasé muchas horas en el agua.,retrieved_raw
2336,aspectos,aspectos,Mil aspectos de la tierra y del espacio.,retrieved
2337,actualmente,actualmente,Actualmente se están estudiando las posibilidades.,retrieved
2340,siguientes,siguientes,Una pieza puede definirse como habitación cuando cumple los requisitos siguientes.,retrieved_raw
2344,conde,conde,De junio de conde del imperio.,retrieved
2345,enfermera,enfermera,Ella es una enfermera en su departamento.,retrieved
2347,conocemos,conocemos,En los años que nos conocemos.,retrieved
2348,llamé,llamé,Así que es por eso que lo llamé.,retrieved_raw
2350,zonas,zonas,C funcionamiento de las zonas francas y de los depósitos francos.,retrieved
2352,motor,motor,El motor de la derecha está funcionando al de su capacidad.,retrieved
2353,valiente,valiente,Tiene una hija muy valiente señor.,retrieved_raw
2354,características,características,Muchas de sus características son inusuales.,retrieved
2356,pasan,pasan,Todos los años pasan por una crisis de mediana edad.,retrieved
2358,compartir,compartir,Hay algo que quiera compartir con el resto de la clase.,retrieved
2360,reales,reales,Las personas vienen aquí con problemas reales de salud.,retrieved_raw
2362,útil,útil,No hay nada útil que pueda hacer allí.,retrieved_raw
2363,r,r,Mejor r b eres tú.,retrieved_raw
2365,seguido,seguido,Seguido por un nuevo episodio de negro que rota lentamente.,retrieved_raw
2366,sección,sección,Está sentado en la sección.,retrieved
2367,thomas,thomas,En serio thomas con estos dos no tenemos nada de qué preocuparse.,retrieved_raw
2368,ahi,ahi,No puede quedarse ahi hasta el juicio.,retrieved_raw
2369,utilizar,utilizar,Muchas gracias mamá ahora estoy dispuesta a utilizar mi proyecto de salud.,retrieved
2372,tonta,tonta,Le ha pasado por tonta.,retrieved_raw
2375,aguas,aguas,Las características de las aguas residuales.,retrieved
2377,chile,chile,Chile en los juegos olímpicos de roma.,retrieved
2379,entera,entera,He estado solo mi vida entera.,retrieved_raw
2380,criminal,criminal,La ley y el orden intención criminal.,retrieved_raw
2381,creerlo,creerlo,Oh por dios no puedo creerlo.,retrieved_raw
2382,gira,gira,Nada de miembros de la gira.,retrieved
2383,dejando,dejando,Estás dejando a tu antiguo hombre.,retrieved
2384,voto,voto,Mientras viva cumpliré este voto.,retrieved
2385,quedo,quedo,Yo me quedo en nido de águilas.,retrieved_raw
2387,cuáles,cuáles,Cuáles eran sus palabras exactas por favor.,retrieved_raw
2388,felipe,felipe,El privilegio de mandar como felipe calderón.,retrieved_raw
2391,crea,crea,Está buscando gente que crea en él.,retrieved_raw
2392,leído,leído,Este texto es leído al comienzo de cada reunión.,retrieved_raw
2393,dudas,dudas,No tengo dudas de que el animal tendrá que comer.,retrieved
2394,león,león,Por lo que el león se sienta y espera.,retrieved
2395,familiares,familiares,Hablaremos en privado de los asuntos familiares.,retrieved_raw
2396,amas,amas,Tú amas el recuerdo de mí.,retrieved_raw
2397,lago,lago,En el estacionamiento del lago.,retrieved
2398,canciones,canciones,Canciones de la calle.,retrieved
2401,conocen,conocen,No conocen a la srta moore.,retrieved
2403,finales,finales,La fuente afirma que hasta finales de febrero del sr.,retrieved
2406,efectivo,efectivo,Solo tengo en efectivo.,retrieved_raw
2407,colores,colores,Es trabajo duro incluso conseguir pegamentos de colores para los niños.,retrieved
2409,llámame,llámame,Llámame cuando lo oigas por favor.,retrieved_raw
2410,eric,eric,Por qué está aquí eric.,retrieved_raw
2412,cero,cero,Es mejor que cero.,retrieved_raw
2415,invierno,invierno,No me gusta el invierno.,retrieved
2416,agosto,agosto,Aprobación por la comisión el de agosto com.,retrieved
2420,mapa,mapa,Te lo mostraré en el mapa.,retrieved
2421,intentó,intentó,Así que el rey lo intentó pero fracasó.,retrieved
2426,dígame,dígame,Dígame si le hago daño.,retrieved_raw
2427,mínimo,mínimo,Quizá lo mínimo que podría haberle dado era un reloj de oro.,retrieved_raw
2429,europea,europea,Consejo de cooperación entre la comunidad europea y egipto.,retrieved_raw
2430,falso,falso,No ella me dio un número falso.,retrieved_raw
2431,libres,libres,Oye quieres tomarte un par de días libres.,retrieved_raw
2433,profesionales,profesionales,Datos académicos profesionales experiencia profesional.,retrieved_raw
2434,sesión,sesión,Se levanta la sesión a las h.,retrieved
2435,consumo,consumo,Se espera que en el consumo por persona.,retrieved
2436,ganó,ganó,Él ganó un premio por ella.,retrieved
2437,rock,rock,Es una gran vida el rock n roll.,retrieved_raw
2438,plantas,plantas,Las piedras las plantas y los animales.,retrieved
2439,necesidades,necesidades,Un muchacho con necesidades especiales.,retrieved
2440,división,división,Temporadas en segunda división.,retrieved
2441,exposición,exposición,Tu exposición de esta mañana.,retrieved
2442,descubierto,descubierto,De hecho he descubierto algo.,retrieved_raw
2444,ofrece,ofrece,Qué se le ofrece oficial.,retrieved_raw
2445,extra,extra,Valor de la hora extra.,retrieved_raw
2446,volviendo,volviendo,No deberías estar volviendo a la universidad.,retrieved_raw
2447,anna,anna,No maté a anna blake.,retrieved_raw
2450,escritor,escritor,Creo que necesitas reunirte con el escritor.,retrieved
2451,j,j,Dios j d lo siento mucho.,retrieved_raw
2455,tomas,tomas,Por qué te tomas ese trabajo.,retrieved_raw
2458,invitados,invitados,Llega para la habitación de invitados.,retrieved_raw
2460,habíamos,habíamos,No habíamos hablado de esto verdad.,retrieved_raw
2461,influencia,influencia,Yo soy una mala influencia.,retrieved
2462,andar,andar,No pasa nada con mi forma de andar.,retrieved
2463,jorge,jorge,Jorge alberti armando de alba.,retrieved_raw
2464,campos,campos,Su hija ayuda con el trabajo en los campos.,retrieved
2465,llevaron,llevaron,Ellos se llevaron a mi hijo.,retrieved_raw
2467,alimentos,alimentos,Es uno de los cuatro grupos de alimentos de cine.,retrieved
2469,arena,arena,Es mejor que un saco de arena.,retrieved
2470,locales,locales,Quiero entender las leyes locales.,retrieved_raw
2471,mejorar,mejorar,También es necesario mejorar la coordinación de la ayuda.,retrieved
2472,pensamos,pensamos,No los judíos no pensamos así.,retrieved
2473,walter,walter,Es una tormenta de mierda walter.,retrieved_raw
2474,coge,coge,Mientras coge a la niña.,retrieved_raw
2475,créeme,créeme,Créeme no puedes hablar con ella.,retrieved_raw
2476,amigas,amigas,Necesito un cuarto para mis amigas.,retrieved
2478,tormenta,tormenta,No no después de la tormenta.,retrieved
2479,cansada,cansada,Sólo sé que estoy cansada de este trabajo.,retrieved_raw
2480,guapo,guapo,Éste es el más guapo.,retrieved_raw
2481,oposición,oposición,Jefe de la oposición de cataluña.,retrieved
2483,páginas,páginas,El informe tiene más de páginas e incluye cuatro anexos pormenorizados.,retrieved
2484,dioses,dioses,La venganza de los dioses.,retrieved
2485,complicado,complicado,La verdad suena un poco complicado.,retrieved_raw
2486,objetos,objetos,Adónde llevas tus objetos de valor.,retrieved
2487,íbamos,íbamos,Sabía que íbamos a trabajar juntos.,retrieved_raw
2488,pasaba,pasaba,No pasaba por debajo del túnel del tren.,retrieved
2489,caído,caído,La casa blanca ha caído.,retrieved_raw
2490,chocolate,chocolate,Ni siquiera un poco de chocolate.,retrieved
2491,guapa,guapa,Eres aún más guapa de lo que había imaginado.,retrieved_raw
2494,objetivos,objetivos,Los objetivos principales de la asociación serán.,retrieved
2496,personajes,personajes,Quiero que la audiencia crea en los personajes.,retrieved
2499,aquellas,aquellas,Por causa de aquellas mujeres.,retrieved_raw
2500,fiestas,fiestas,Las fiestas de cumpleaños sacó las armas.,retrieved
2501,olvidé,olvidé,Lo siento mucho lo olvidé.,retrieved_raw
2502,puestos,puestos,Todos a sus puestos de trabajo.,retrieved
2503,pescado,pescado,Come tu pastel de pescado.,retrieved_raw
2504,ciertas,ciertas,Bueno ambas cosas son ciertas.,retrieved_raw
2506,asustado,asustado,No tienes por qué estar asustado.,retrieved_raw
2508,pidiendo,pidiendo,Qué es lo que te estoy pidiendo.,retrieved_raw
2510,santiago,santiago,Tiempos de odio santiago de chile.,retrieved_raw
2512,blancos,blancos,Mi esposa y mi hija son blancos.,retrieved_raw
2513,oyes,oyes,Vamos a sacarte de ahí me oyes.,retrieved_raw
2514,maravillosa,maravillosa,Tengo la maravillosa sensación de que todo va a salirme bien.,retrieved_raw
2516,llegan,llegan,En algunos casos llegan incluso a utilizarse como sinónimos.,retrieved
2517,intentarlo,intentarlo,Estoy loco pero volveré a intentarlo.,retrieved_raw
2518,durmiendo,durmiendo,Durmiendo en la casa de una amiga.,retrieved_raw
2519,responde,responde,El piloto no responde a llamados desde hace minutos.,retrieved_raw
2520,pierde,pierde,Bueno y él pierde el control.,retrieved_raw
2521,matarme,matarme,Pensaba que iban a matarme y robar.,retrieved_raw
2522,representa,representa,Sabes qué anjali creo que esto representa una especie de crecimiento.,retrieved_raw
2523,mataron,mataron,Dijo algo sobre un tipo al que mataron.,retrieved_raw
2524,doctora,doctora,Los llevaré a ver a la doctora.,retrieved
2525,vivos,vivos,Ambos estamos vivos y estamos aquí en este momento.,retrieved_raw
2528,cerrada,cerrada,La caja está cerrada.,retrieved_raw
2533,técnico,técnico,Formato técnico para la transmisión de datos.,retrieved
2534,paredes,paredes,De qué color son las paredes del comedor.,retrieved
2537,dejaron,dejaron,La dejaron libre hace un par de horas.,retrieved_raw
2540,vehículo,vehículo,Parece un vehículo más grande.,retrieved
2541,disculpas,disculpas,Es la primera vez que te disculpas.,retrieved
2542,presentación,presentación,Presentación del proyecto de resolución a c l.,retrieved
2543,socio,socio,Por qué mataría a mi socio.,retrieved
2544,deprisa,deprisa,Está seguro de que no va demasiado deprisa.,retrieved_raw
2546,vivía,vivía,Mi hermano vivía en nueva york.,retrieved_raw
2548,encontraste,encontraste,Lo encontraste en la cama con otra.,retrieved_raw
2550,cuantos,cuantos,Solo me quedan unos cuantos días antes de desaparecer.,retrieved_raw
2553,explicación,explicación,De acuerdo esa es la única explicación.,retrieved
2554,empezando,empezando,Niños del ejército son resistentes resistentes estoy empezando a odiar esa palabra.,retrieved
2555,tambien,tambien,Deberías de venir tambien esta noche.,retrieved_raw
2556,levanta,levanta,Se levanta la sesión a las horas.,retrieved_raw
2557,suave,suave,En voz muy baja muy suave.,retrieved_raw
2558,temperatura,temperatura,Por qué te tomas la temperatura.,retrieved
2559,móvil,móvil,No han fabricado un juego para móvil han fabricado una máquina.,retrieved_raw
2560,distinto,distinto,Debe haber un ambiente distinto ahí dentro.,retrieved_raw
2561,hecha,hecha,Está hecha mierda de la cabeza.,retrieved_raw
2562,mama,mama,Es lo mejor para mi mama.,retrieved
2565,haberme,haberme,No estoy segura pero no debería haberme casado con tu padre.,retrieved_raw
2566,rara,rara,Alguien murió de una manera rara.,retrieved_raw
2567,pura,pura,No os recuerda a la de la abuela pura.,retrieved_raw
2569,fotografía,fotografía,No sé cómo o por qué se ofreció la fotografía.,retrieved_raw
2571,solas,solas,No quiero estar a solas con esas cosas.,retrieved_raw
2572,rápida,rápida,Estás en la vía rápida y no es por tu viejo.,retrieved_raw
2574,maneras,maneras,Siempre hay maneras en que un pueblo puede pelear.,retrieved
2575,casarse,casarse,Apuesto a que nunca logrará casarse con él.,retrieved_raw
2576,documento,documento,El presente documento fue preparado por el sr.,retrieved
2577,mio,mio,Oh dios mio estoy en una espiral.,retrieved_raw
2578,proyectos,proyectos,Los siguientes proyectos recibieron ayuda.,retrieved
2579,nacido,nacido,Creo que estará más feliz cuando el niño haya nacido.,retrieved_raw
2581,motivos,motivos,No no tienes motivos para preocuparte.,retrieved
2583,intenté,intenté,No importa cuánto lo intenté no funcionó.,retrieved_raw
2584,seria,seria,No se permite gente seria.,retrieved_raw
2585,psoe,psoe,Secretario de organización del psoe desde.,retrieved
2586,centros,centros,Son miembros de los centros docentes.,retrieved
2587,constitución,constitución,Por lo tanto esperamos que la constitución europea sea aprobada lo antes posible.,retrieved
2590,conducta,conducta,El mismo patrón de conducta.,retrieved
2591,tomo,tomo,Le importa si me tomo un trago.,retrieved_raw
2593,california,california,Me siento como si fuera el dueño del sur de california.,retrieved_raw
2594,generales,generales,Observaciones generales frecuencia s.,retrieved_raw
2595,capaces,capaces,Al menor roce serían capaces de cualquier cosa.,retrieved_raw
2598,quince,quince,Quince años del comité de las regiones.,retrieved_raw
2602,virgen,virgen,El de septiembre virgen de los dolores.,retrieved_raw
2605,pregunté,pregunté,No le pregunté y me da lo mismo.,retrieved_raw
2606,hubieran,hubieran,Me siento como si me hubieran llamado a la oficina del director.,retrieved_raw
2608,maté,maté,Por la que maté a mi mejor amigo.,retrieved_raw
2611,correcta,correcta,En la dirección correcta en la dirección correcta.,retrieved_raw
2612,lisa,lisa,Fui a despedirme de lisa.,retrieved_raw
2613,sucio,sucio,Todos tienen algún secreto sucio vamos a descubrir el de él.,retrieved_raw
2617,ponen,ponen,Todos los que van allí se ponen super cachondos.,unlinked_finite_verbs
2620,martín,martín,Dirección y puesta en escena martín clutet.,retrieved_raw
2623,seguimos,seguimos,Seguimos sin localizar la fuente de esa energía que detectamos.,retrieved
2625,obstante,obstante,No obstante siempre podemos intentar mejorar.,retrieved_raw
2629,impuestos,impuestos,Les voy a enviar los impuestos a mis padres.,retrieved
2630,unidades,unidades,Todas las unidades en la ciudad querrán participar.,retrieved
2631,anteriores,anteriores,Todos los anteriores pactos y condiciones expresamente se fija según.,retrieved_raw
2632,sheriff,sheriff,El sheriff la protegerá mucho mejor que yo.,retrieved_raw
2633,harías,harías,Qué harías si te dejo aquí.,retrieved_raw
2635,alemanes,alemanes,Nunca ha habido amistad entre alemanes y judíos.,retrieved_raw
2637,miércoles,miércoles,El miércoles a la noche.,retrieved
2640,cirugía,cirugía,Nunca has pensado en la cirugía estética.,retrieved_raw
2641,sexy,sexy,Cuál es el más sexy.,retrieved_raw
2643,liga,liga,No es una liga menor.,retrieved
2644,lópez,lópez,Rafael de la barra lópez.,retrieved
2645,escribe,escribe,Todos los días se escribe la historia negra.,retrieved_raw
2646,trabajaba,trabajaba,Qué ha sido de aquel chico que trabajaba en la oficina con usted.,retrieved
2650,torre,torre,Sitio oficial de la torre oscura en inglés.,retrieved
2651,encuentras,encuentras,Seguro que encuentras a otro con quien ir al concierto.,retrieved_raw
2652,preocupada,preocupada,Yo también estoy preocupada por él.,retrieved_raw
2653,vuelvas,vuelvas,No vuelvas a la universidad.,retrieved_raw
2654,electoral,electoral,El reto de mantener al día la lista electoral de india.,retrieved_raw
2655,doña,doña,El hotel de los secretos doña helena.,retrieved
2657,limpia,limpia,Ahora sí que está limpia.,retrieved_raw
2658,ponerse,ponerse,Puede ponerse peor con el tiempo.,retrieved_raw
2659,acusado,acusado,Vinieron a ver si las había acusado.,retrieved_raw
2661,breve,breve,Breve historia de la cumbia en el diario.,retrieved_raw
2662,bravo,bravo,Equipo bravo en la parte de atrás.,retrieved
2663,favorito,favorito,Quien es tu jugador favorito.,retrieved_raw
2665,evolución,evolución,Evolución de la tecnología.,retrieved
2666,consigo,consigo,Por qué no lo consigo.,retrieved_raw
2671,dirá,dirá,Eso nos dirá donde está ahora.,unlinked_finite_verbs
2673,ejecutivo,ejecutivo,Desde miembro del comité ejecutivo del banco central europeo.,retrieved
2674,dia,dia,Por su trabajo de todo el dia.,retrieved
2677,enfermedades,enfermedades,No podemos tener enfermedades en las barracas.,retrieved
2679,delito,delito,No se cometió ningún delito.,retrieved
2681,actos,actos,Toda esa gente a la que has incendiado con tus actos.,retrieved
2682,procedimiento,procedimiento,Sé que no es el procedimiento correcto pero tenemos un problema.,retrieved
2684,socialista,socialista,Violaciones de los derechos humanos en la república socialista de vietnam.,retrieved_raw
2689,seguía,seguía,A la mañana siguiente seguía ahí.,retrieved_raw
2690,adecuado,adecuado,Me di cuenta de que el truco estaba en elegir el momento adecuado.,retrieved_raw
2691,ricos,ricos,De la lista de los más ricos.,retrieved_raw
2692,continuación,continuación,El presidente habla a continuación.,retrieved
2693,patio,patio,En el patio de sus padres.,retrieved
2694,ana,ana,Te ha dado ana esta carta.,retrieved_raw
2695,franco,franco,Es una canción franco canadiense.,retrieved
2700,opciones,opciones,Entonces no se trata de nosotros pero de pronto hablas de opciones.,retrieved
2701,personales,personales,No tenemos tiempo para idioteces personales.,retrieved_raw
2702,interesado,interesado,Ahora estarías interesado en hablar de eso.,retrieved_raw
2703,masa,masa,En la cabeza con una masa.,retrieved
2706,sacó,sacó,Lo sacó de la escuela el día que salió de la prisión.,retrieved_raw
2707,iguales,iguales,No son todos iguales hermosos cuando los dejas.,retrieved_raw
2709,punta,punta,Una vez a punta de pistola.,retrieved
2710,pantalla,pantalla,Te importaría ponerte al lado de la pantalla.,retrieved
2711,pudiste,pudiste,Bueno por qué no pudiste dormir.,retrieved_raw
2712,tropas,tropas,Deja que te presente a las tropas.,retrieved
2713,precioso,precioso,El tiempo es precioso para mí ahora.,retrieved_raw
2715,alumnos,alumnos,Número de alumnos número de clases.,retrieved
2719,verle,verle,A él le gustaría verle.,retrieved_raw
2720,científico,científico,Informe del comité científico de la alimentación humana serie.,retrieved_raw
2721,establecer,establecer,Por consiguiente no es necesario establecer disposiciones al efecto.,retrieved
2722,partida,partida,Nos vemos esta noche en la partida de póquer.,retrieved
2724,esperamos,esperamos,A qué hora vas a venir esta noche te esperamos para cenar.,retrieved
2725,reforma,reforma,Reforma de la ley de cereales.,retrieved
2727,crítica,crítica,Crítica en el periódico español el mundo.,retrieved
2728,rodríguez,rodríguez,El paseo de la muerte francisco rodríguez medina.,retrieved
2730,torno,torno,Todo gira en torno a owen.,retrieved
2732,sencillo,sencillo,Quería que sea sencillo para usted.,retrieved_raw
2733,mental,mental,Se trataba de control mental.,retrieved_raw
2735,wow,wow,Wow tengo una gran cantidad de dinero dentro de mí.,retrieved_raw
2736,distrito,distrito,La manera en que trataron al fiscal de distrito.,retrieved
2737,volví,volví,No volví hasta hace un rato.,retrieved_raw
2740,gastos,gastos,Cuadro a necesidades por objeto de gastos.,retrieved
2741,límites,límites,En los límites de la materia.,retrieved
2742,febrero,febrero,Del de enero al de febrero.,retrieved
2743,quieto,quieto,Ahora te vas a estar quieto.,retrieved_raw
2746,toques,toques,No me toques la cara.,retrieved
2748,deseos,deseos,Me parece que el presidente expresado claramente sus deseos.,retrieved
2750,secundaria,secundaria,La naturaleza de la componente secundaria no es conocida.,retrieved_raw
2753,idiotas,idiotas,Nos hizo quedar como idiotas.,retrieved_raw
2754,cincuenta,cincuenta,La he tenido durante cincuenta años.,retrieved_raw
2756,sectores,sectores,Educación valor añadido en la industria de los sectores de alta tecnología.,retrieved
2759,llego,llego,Bueno ya llego tu hora.,retrieved_raw
2761,funciones,funciones,Son funciones específicas de la comisión de coordinación de prevención de riesgos laborales.,retrieved
2763,señales,señales,No señales de él por ningún lado.,retrieved
2764,nacimiento,nacimiento,El nacimiento de cristo.,retrieved
2765,suficientes,suficientes,Nuestro matrimonio tenia suficientes problemas.,retrieved_raw
2766,vivido,vivido,Etnonces has vivido una larga vida amigo no mucha gente lo ha hecho.,retrieved
2768,saldrá,saldrá,Te da un besito en ia frente y te dice que todo saldrá bien.,retrieved
2769,helado,helado,Lo quiere de postre con una cucharada de helado encima.,retrieved_raw
2771,alberto,alberto,Estoy en la casa de alberto mi compadre.,retrieved
2772,reyes,reyes,Buenos días a mis reyes soberanos.,retrieved
2773,rafael,rafael,Página oficial de rafael de la fuente.,retrieved
2774,muchísimo,muchísimo,Sólo quería decirte que siento muchísimo lo de tu tío.,retrieved_raw
2775,mataste,mataste,Por poco mataste a mi hijo.,retrieved_raw
2779,científicos,científicos,Empleados en su mayoría científicos e ingenieros.,retrieved_raw
2782,pueblos,pueblos,Derecho de los pueblos a la libre determinación p.,retrieved
2783,celular,celular,Tienes que conseguir un teléfono celular.,retrieved_raw
2784,dirige,dirige,Es una invitación al presidente que se dirige al congreso.,retrieved_raw
2785,conductor,conductor,No soy el mejor conductor del mundo.,retrieved
2786,juega,juega,Ella juega al tenis todos los domingos.,retrieved_raw
2788,grandioso,grandioso,Grandioso ahora saben que estamos en casa.,retrieved_raw
2792,v,v,Quiz s es una v lvula averiada.,retrieved_raw
2793,decirles,decirles,Aún tienes que decirles lo que pasó.,retrieved_raw
2794,nerviosa,nerviosa,No ves que estoy nerviosa por tu hermana.,retrieved_raw
2797,den,den,Pero es necesario que se den.,retrieved_raw
2800,difíciles,difíciles,Las cosas se están poniendo difíciles para todos.,retrieved_raw
2801,altos,altos,Aquí la demanda del gobierno de mano de obra mantiene altos los salarios.,retrieved_raw
2802,diferencias,diferencias,Las diferencias radican en el cuánto y el cómo.,retrieved
2805,restos,restos,Recoge los restos de su desayuno de la mañana.,retrieved
2806,poquito,poquito,Es un poquito mas complicado que eso.,truncated_noun_phrase
2807,siéntese,siéntese,Siéntese en la u de vuelta.,retrieved_raw
2809,comprender,comprender,No llego a comprender.,retrieved
2810,molesto,molesto,Es molesto eso es lo que pasa.,retrieved_raw
2811,guardias,guardias,Todos los guardias a la pared ahora.,retrieved
2812,dejamos,dejamos,Dejamos que la arena se pose y usamos el agua limpia de la superficie.,retrieved
2814,viniste,viniste,Por qué no viniste aquí directamente.,retrieved_raw
2815,haberse,haberse,Puede haberse sacado un truco de la manga.,retrieved_raw
2821,ciertos,ciertos,Se caracterizaron por ciertos elementos estilísticos diferentes al resto de los grupos de la época armonías vocales sonido pop.,retrieved_raw
2822,posibles,posibles,Te cortaré de todas las formas posibles.,retrieved_raw
2825,obvio,obvio,Es demasiado obvio regalo de la naturaleza.,retrieved_raw
2826,biblioteca,biblioteca,Ir a la biblioteca en el almuerzo.,retrieved
2828,ocupada,ocupada,Va a estar muy ocupada.,retrieved_raw
2831,judicial,judicial,No es una orden judicial.,retrieved_raw
2832,duerme,duerme,Nunca duerme en el cuartel para solteros.,retrieved
2833,próximos,próximos,No tengo nada que hacer salvo pensar en los próximos años.,retrieved_raw
2834,traducción,traducción,Cómo es la mejor traducción.,retrieved
2835,javier,javier,Catedral de san francisco javier agartala.,retrieved_raw
2839,aires,aires,Línea de colectivos de buenos aires.,retrieved
2841,americanos,americanos,No lo sé ciudadanos americanos.,retrieved_raw
2842,convertirse,convertirse,No este chico no puede convertirse en nuestra responsabilidad.,retrieved_raw
2844,poca,poca,Realmente tiene tan poca fe en la sociedad.,retrieved_raw
2847,dudo,dudo,Lo dudo y a ti.,retrieved_raw
2851,organismo,organismo,Se entenderá por organismo de derecho público todo organismo.,retrieved
2852,nacionales,nacionales,John michael wright en las galerías nacionales de escocia.,retrieved_raw
2853,abrió,abrió,Así que abrió una galería de arte.,retrieved_raw
2855,ausencia,ausencia,En caso de ausencia será sustituido por el rector de la universidad.,retrieved
2856,podías,podías,Bueno al menos podías ayudarme a buscarla.,retrieved_raw
2857,esperan,esperan,Y a cuántos invitados esperan ustedes.,retrieved_raw
2858,declaraciones,declaraciones,Las declaraciones del consejo y de la comisión sobre la inmigración.,retrieved
2859,equivocada,equivocada,La persona equivocada dúo con victor manuelle.,retrieved_raw
2860,muriendo,muriendo,No creo que en serio me estoy muriendo.,retrieved_raw
2861,mono,mono,Deja de ser un mono.,retrieved
2862,tomaré,tomaré,Tomaré un vaso de agua por favor.,retrieved_raw
2863,jodido,jodido,Te lo digo y estoy jodido.,retrieved_raw
2864,diversos,diversos,Otros productos químicos diversos n c o p.,retrieved_raw
2866,logrado,logrado,Habia logrado introducirse en la pared.,retrieved
2869,pp,pp,De a mayoría absoluta pp.,retrieved
2871,consciente,consciente,Creo que ella está consciente.,retrieved_raw
2872,escucho,escucho,Otra vez escucho esa voz.,retrieved_raw
2875,tenia,tenia,Todo lo que tenia que hacer es seguir.,retrieved_raw
