lemma,rank,pos,sentence,tokens,combined,reranker,lm_logp
contigo,270,adv,Ella contigo está a punto de salir.,ella contigo está a punto de salir,-0.4734,-0.4734,-37.3157
cualquier,271,determiner,Tengo cualquier libro que quería ir.,tengo cualquier libro que quería ir,-0.6869,-0.6869,-37.4007
demasiado,272,adv,Ella está demasiado tarde para eso.,ella está demasiado tarde para eso,-0.0261,-0.0261,-32.9782
ven,273,v,Ellos ven a mi casa está cerca.,ellos ven a mi casa está cerca,-0.3484,-0.3484,-38.6893
serio,274,adj,No es serio de su padre.,no es serio de su padre,-0.6460,-0.6460,-35.5760
algún,275,determiner,Tengo algún libro es muy bueno.,tengo algún libro es muy bueno,-1.3810,-1.3810,-40.8004
ve,276,v,No ve un poco de agua.,no ve un poco de agua,0.4615,0.4615,-31.0438
nueva,277,adj,Ella es nueva de la ciudad.,ella es nueva de la ciudad,-0.6347,-0.6347,-38.3270
eh,278,,Eh no tiene nada que ver.,eh no tiene nada que ver,-0.7008,-0.7008,-35.8882
lado,279,n,Es un lado para otro lado.,es un lado para otro lado,0.7921,0.7921,-29.7917
manera,280,n,Es una manera de hablar con él.,es una manera de hablar con él,1.1378,1.1378,-28.5901
cabeza,281,n,La cabeza con un poco de agua.,la cabeza con un poco de agua,-0.7155,-0.7155,-31.9868
hombres,282,n,Los hombres son más que los niños.,los hombres son más que los niños,0.4088,0.4088,-28.6436
historia,283,n,La historia no tiene nada que ver.,la historia no tiene nada que ver,1.0265,1.0265,-26.6813
dentro,284,adv,Ella está dentro de una semana.,ella está dentro de una semana,0.6973,0.6973,-31.1097
sería,285,v,No sería el mundo está de acuerdo.,no sería el mundo está de acuerdo,0.5107,0.5107,-31.3567
salir,286,v,Voy a salir con este tiempo.,voy a salir con este tiempo,1.0294,1.0294,-25.6658
debería,287,v,Debería haber hecho lo que ha hecho.,debería haber hecho lo que ha hecho,1.4380,1.4380,-27.1902
van,288,v,Ellos van a hacer eso por mí.,ellos van a hacer eso por mí,1.3556,1.3556,-29.4006
ciudad,289,n,La ciudad se encuentra en el mundo.,la ciudad se encuentra en el mundo,0.5970,0.5970,-27.9759
ustedes,290,pron,Ustedes están aquí desde hace mucho tiempo.,ustedes están aquí desde hace mucho tiempo,-0.2991,-0.2991,-36.8225
muchas,291,determiner,Tengo muchas casas de la ciudad.,tengo muchas casas de la ciudad,-2.6459,-2.6459,-39.1900
poder,292,n,Es un poder hablar con él.,es un poder hablar con él,-0.1257,-0.1257,-35.3066
algunos,293,determiner,Tengo algunos libros de los niños.,tengo algunos libros de los niños,-0.8260,-0.8260,-28.6596
amigos,294,n,Los amigos son un poco de agua.,los amigos son un poco de agua,-0.3388,-0.3388,-34.2313
chica,295,n,La chica que está hablando con él.,la chica que está hablando con él,1.2524,1.2524,-27.6922
mayor,296,adj,Ella es mayor que mi hijo.,ella es mayor que mi hijo,1.0558,1.0558,-26.8718
sabía,297,v,No sabía qué hacer con los ojos.,no sabía qué hacer con los ojos,1.1586,1.1586,-26.1761
chicos,298,n,Los chicos son un poco de agua.,los chicos son un poco de agua,-0.0354,-0.0354,-32.7961
hermano,299,n,Tengo un hermano que vive al lado.,tengo un hermano que vive al lado,1.0024,1.0024,-26.9559
esas,300,determiner,Tengo esas casas a la gente.,tengo esas casas a la gente,-2.9832,-2.9832,-42.0115
primer,301,adj,Él es primer día del año pasado.,él es primer día del año pasado,-0.0157,-0.0157,-36.9177
país,302,n,Es un país no es un país.,es un país no es un país,0.4355,0.4355,-28.6718
vaya,303,v,Vaya a la casa de mi padre.,vaya a la casa de mi padre,-1.3089,-1.3089,-34.2306
agua,304,n,Tengo una agua y el otro día.,tengo una agua y el otro día,-0.0238,-0.0238,-34.9738
misma,305,adj,Él es misma que la tierra.,él es misma que la tierra,-0.6819,-0.6819,-35.7734
veo,306,v,No veo por qué la gente.,no veo por qué la gente,1.0207,1.0207,-24.8980
haces,307,v,No haces nada que ver con esto.,no haces nada que ver con esto,0.2609,0.2609,-32.0112
camino,308,n,Es un camino a la policía.,es un camino a la policía,0.2461,0.2461,-30.7400
persona,309,n,Es una persona que más te vale.,es una persona que más te vale,0.7024,0.7024,-27.8356
iba,310,v,Ella iba a ser una buena idea.,ella iba a ser una buena idea,0.8251,0.8251,-31.0320
realidad,311,n,La realidad es un tipo de cosas.,la realidad es un tipo de cosas,0.5753,0.5753,-29.3710
fin,312,n,El fin de semana en la misma.,el fin de semana en la misma,-0.2085,-0.2085,-29.0523
importante,313,adj,Esto es importante para los niños.,esto es importante para los niños,1.0154,1.0154,-26.1403
primero,314,adj,Él es primero en llegar a ser.,él es primero en llegar a ser,0.5136,0.5136,-33.7728
digo,315,v,Yo digo que no me gusta mucho.,yo digo que no me gusta mucho,0.5325,0.5325,-28.8154
horas,316,n,Las horas de trabajo que hacer eso.,las horas de trabajo que hacer eso,-0.0234,-0.0234,-33.6168
semana,317,n,La semana que viene a ver.,la semana que viene a ver,0.6019,0.6019,-27.5818
puerta,318,n,La puerta no se puede hacer nada.,la puerta no se puede hacer nada,0.8219,0.8219,-28.6000
somos,319,v,No somos tan pronto como sea posible.,no somos tan pronto como sea posible,1.2527,1.2527,-29.4160
pensé,320,v,Pensé que habías dicho que no sé.,pensé que habías dicho que no sé,-0.0376,-0.0376,-25.5927
bajo,321,prep,Estoy bajo el nombre de su hijo.,estoy bajo el nombre de su hijo,-0.1855,-0.1855,-37.3569
muerte,322,n,El muerte está más cerca de aquí.,el muerte está más cerca de aquí,-1.0799,-1.0799,-40.2426
problemas,323,n,Tengo unos problemas con la familia.,tengo unos problemas con la familia,-0.6261,-0.6261,-37.4055
punto,324,n,Es un punto de llegar a ser.,es un punto de llegar a ser,1.0511,1.0511,-29.1588
ah,325,,Ah es la mejor forma de hablar.,ah es la mejor forma de hablar,-0.3417,-0.3417,-37.4905
pasó,326,v,Pasó por la noche en un día.,pasó por la noche en un día,-0.3286,-0.3286,-29.9500
quizá,327,adv,Quizá no es un poco de agua.,quizá no es un poco de agua,-0.2876,-0.2876,-33.6909
buenas,328,adj,Él es buenas en el mundo.,él es buenas en el mundo,-0.4484,-0.4484,-37.5786
supuesto,329,n,El supuesto que te vas a hacer.,el supuesto que te vas a hacer,-0.9420,-0.9420,-37.8790
cuatro,330,num,Tengo cuatro libros en mi vida.,tengo cuatro libros en mi vida,-2.8543,-2.8543,-37.6283
da,331,v,No da lo mismo una y otra.,no da lo mismo una y otra,0.0500,0.0500,-35.3339
mano,332,n,Es una mano con los ojos.,es una mano con los ojos,0.2489,0.2489,-29.6585
niños,333,n,Los niños les gusta hablar de ello.,los niños les gusta hablar de ello,1.1150,1.1150,-27.6774
volver,334,v,Quiero volver a casa de mi padre.,quiero volver a casa de mi padre,1.1263,1.1263,-29.1238
además,335,adv,Ella está además de ser una buena.,ella está además de ser una buena,0.1201,0.1201,-36.4487
señora,336,n,La señora es al mismo tiempo.,la señora es al mismo tiempo,-0.5233,-0.5233,-30.3803
cariño,337,n,El cariño es al mismo tiempo.,el cariño es al mismo tiempo,-0.1468,-0.1468,-35.2775
ayuda,338,n,Es una ayuda a tu madre.,es una ayuda a tu madre,-0.3735,-0.3735,-35.4278
ojos,339,n,Los ojos de ella es una persona.,los ojos de ella es una persona,-0.5020,-0.5020,-30.7362
cinco,340,num,Tengo cinco libros en mi vida.,tengo cinco libros en mi vida,-2.8363,-2.8363,-37.6580
pasar,341,v,Voy a pasar el fin de semana.,voy a pasar el fin de semana,1.6571,1.6571,-26.3176
general,342,adj,Él es general a los niños.,él es general a los niños,0.1224,0.1224,-33.4578
pronto,343,adv,Pronto será un buen día para otro.,pronto será un buen día para otro,0.1709,0.1709,-31.4147
debo,344,v,Debo ir a la hora.,debo ir a la hora,-2.5040,-2.5040,-26.0763
minutos,345,n,Tengo unos minutos más de tres.,tengo unos minutos más de tres,0.1002,0.1002,-34.2911
sino,346,conj,Es bueno sino es difícil hablar.,es bueno sino es difícil hablar,-3.5865,-3.5865,-41.3184
gobierno,347,n,El gobierno está de acuerdo con él.,el gobierno está de acuerdo con él,-0.2084,-0.2084,-32.4435
manos,348,n,Las manos antes de ir a casa.,las manos antes de ir a casa,-0.6285,-0.6285,-31.9265
presidente,349,n,El presidente es una de las personas.,el presidente es una de las personas,-1.2607,-1.2607,-35.1039
muerto,350,adj,Ha muerto en un día de hoy.,ha muerto en un día de hoy,-0.2350,-0.2350,-36.7208
muchos,351,determiner,Tengo muchos libros en la vida.,tengo muchos libros en la vida,0.7798,0.7798,-27.0630
chico,352,n,El chico que está hablando con él.,el chico que está hablando con él,1.5053,1.5053,-27.5453
guerra,353,n,Es una guerra es la primera vez.,es una guerra es la primera vez,-0.0928,-0.0928,-34.2339
hice,354,v,Yo hice todo lo que has hecho.,yo hice todo lo que has hecho,0.8082,0.8082,-30.2725
incluso,355,adv,Incluso un niño que está hablando.,incluso un niño que está hablando,0.6270,0.6270,-27.6399
medio,356,n,El medio está más cerca de aquí.,el medio está más cerca de aquí,-0.8607,-0.8607,-39.2194
cuál,357,pron,No sé cuál hacer algo así.,no sé cuál hacer algo así,-2.3481,-2.3481,-35.5248
hablando,358,v,Estamos hablando de una vez al año.,estamos hablando de una vez al año,0.4843,0.4843,-31.3713
adiós,359,n,Tengo un adiós y el otro día.,tengo un adiós y el otro día,-0.1737,-0.1737,-38.7269
siquiera,360,adv,Ella está siquiera con la cabeza.,ella está siquiera con la cabeza,-0.9497,-0.9497,-39.0305
genial,361,adj,Él es genial en el mundo.,él es genial en el mundo,-1.5361,-1.5361,-39.3124
fueron,362,v,Ellos fueron a la gente de aquí.,ellos fueron a la gente de aquí,1.0217,1.0217,-28.8535
ello,363,pron,Ella es ello por el momento.,ella es ello por el momento,-0.8079,-0.8079,-39.0594
rápido,364,adj,Él es rápido de lo que pasó.,él es rápido de lo que pasó,-0.2659,-0.2659,-36.9152
equipo,365,n,El equipo de lo que es hora.,el equipo de lo que es hora,-1.1578,-1.1578,-34.4417
dejar,366,v,Voy a dejar de hacer eso.,voy a dejar de hacer eso,1.2074,1.2074,-25.7784
significa,367,v,Significa que no se puede hacer nada.,significa que no se puede hacer nada,0.5159,0.5159,-32.7898
jefe,368,n,El jefe es una de las personas.,el jefe es una de las personas,-1.2616,-1.2616,-35.1097
millones,369,n,Los millones de personas en el mundo.,los millones de personas en el mundo,-0.7737,-0.7737,-33.8441
suerte,370,n,Es un suerte de tener un poco.,es un suerte de tener un poco,0.0918,0.0918,-34.9747
otras,371,determiner,Tengo otras casas a la gente.,tengo otras casas a la gente,-5.7168,-5.7168,-45.5491
ayer,372,adv,Ella está ayer por la tarde.,ella está ayer por la tarde,0.5798,0.5798,-31.2261
cuerpo,373,n,El cuerpo está un poco de agua.,el cuerpo está un poco de agua,-0.5011,-0.5011,-35.5408
llegar,374,v,Voy a llegar tarde a la policía.,voy a llegar tarde a la policía,1.3803,1.3803,-26.5250
mujeres,375,n,Los mujeres no se puede hacer eso.,los mujeres no se puede hacer eso,-0.4718,-0.4718,-38.1409
posible,376,adj,No es posible que haya hecho.,no es posible que haya hecho,1.5076,1.5076,-24.6468
según,377,prep,Estoy según lo que está en casa.,estoy según lo que está en casa,-2.4877,-2.4877,-42.9097
nuestros,378,determiner,Nuestros libros son de una vez.,nuestros libros son de una vez,-1.7159,-1.7159,-39.6793
quizás,379,adv,Quizás sea una buena razón para estar.,quizás sea una buena razón para estar,-0.7460,-0.7460,-31.6334
tierra,380,n,La tierra no es un hombre.,la tierra no es un hombre,0.4075,0.4075,-25.7599
único,381,adj,Él es único que puede hacer eso.,él es único que puede hacer eso,-0.6201,-0.6201,-41.2502
hija,382,n,Tengo una hija de mi hermano mayor.,tengo una hija de mi hermano mayor,1.2496,1.2496,-28.8391
ninguna,383,determiner,Tengo ninguna casa a las personas.,tengo ninguna casa a las personas,-2.0415,-2.0415,-42.5947
final,384,n,El final está de acuerdo con él.,el final está de acuerdo con él,-1.2068,-1.2068,-38.3220
cara,385,n,La cara con un poco de agua.,la cara con un poco de agua,-0.8368,-0.8368,-31.9134
niño,386,n,El niño se parece a su madre.,el niño se parece a su madre,1.2462,1.2462,-23.7987
supongo,387,v,Supongo que es hora de volver.,supongo que es hora de volver,0.9756,0.9756,-26.0382
juntos,388,adj,Él es juntos a la vez.,él es juntos a la vez,-0.0629,-0.0629,-34.7543
algunas,389,determiner,Tengo algunas casas de la ciudad.,tengo algunas casas de la ciudad,-2.8247,-2.8247,-40.3806
entiendo,390,v,Estoy entiendo nada de lo que pasó.,estoy entiendo nada de lo que pasó,-0.5276,-0.5276,-37.1164
número,391,n,Es un número de personas.,es un número de personas,-0.2923,-0.2923,-23.6594
ningún,392,determiner,Ningún libro es de mi padre.,ningún libro es de mi padre,-1.1925,-1.1925,-36.5605
deja,393,v,Deja que te vas a hacer eso.,deja que te vas a hacer eso,1.4090,1.4090,-27.4222
ves,394,v,No ves que estoy de acuerdo contigo.,no ves que estoy de acuerdo contigo,1.4687,1.4687,-28.0684
tío,395,n,El tío se fue a la policía.,el tío se fue a la policía,-0.7304,-0.7304,-31.6915
cerca,396,adv,Ella está cerca de mi padre.,ella está cerca de mi padre,0.3077,0.3077,-29.7644
corazón,397,n,Me gusta el corazón.,me gusta el corazón,-1.9421,-1.9421,-24.7899
miedo,398,n,Es un miedo a los niños.,es un miedo a los niños,-0.2590,-0.2590,-33.7513
buenos,399,adj,Ella es buenos a los niños.,ella es buenos a los niños,-0.4273,-0.4273,-36.2242
eran,400,v,Ellos eran en el mundo.,ellos eran en el mundo,-2.2378,-2.2378,-30.6276
haya,401,v,Haya dicho algo así en mi vida.,haya dicho algo así en mi vida,-0.4191,-0.4191,-37.5080
hubiera,402,v,Hubiera dicho la verdad es que ya.,hubiera dicho la verdad es que ya,0.1096,0.1096,-33.1834
feliz,403,adj,No es feliz o no ser.,no es feliz o no ser,1.2017,1.2017,-27.5148
unas,404,determiner,Tengo unas casas cerca.,tengo unas casas cerca,-4.7659,-4.7659,-35.2129
espero,405,v,No espero que no me gusta mucho.,no espero que no me gusta mucho,0.6100,0.6100,-27.8027
igual,406,adj,No es igual que su hermano.,no es igual que su hermano,0.6102,0.6102,-28.9251
viene,407,v,Ella viene de una forma de hablar.,ella viene de una forma de hablar,1.1547,1.1547,-30.5395
meses,408,n,Los meses que no me gusta mucho.,los meses que no me gusta mucho,-0.4104,-0.4104,-34.4585
sigue,409,v,Sigue en el mundo está de acuerdo.,sigue en el mundo está de acuerdo,0.1387,0.1387,-32.5442
dar,410,v,Voy a dar las gracias a ti.,voy a dar las gracias a ti,1.3845,1.3845,-28.4579
podía,411,v,No podía dejar de hablar con él.,no podía dejar de hablar con él,0.9649,0.9649,-29.2825
última,412,adj,Él es última vez que he visto.,él es última vez que he visto,-0.1367,-0.1367,-37.9072
difícil,413,adj,No es difícil de hacer eso.,no es difícil de hacer eso,0.8059,0.8059,-27.9562
os,414,interj,Os he dicho que no hay nada.,os he dicho que no hay nada,0.9768,0.9768,-28.3749
venir,415,v,Voy a venir mañana por la mañana.,voy a venir mañana por la mañana,0.5573,0.5573,-34.0229
vi,416,v,No vi a un lado para otro.,no vi a un lado para otro,1.6130,1.6130,-27.2292
viejo,417,n,Es un viejo amigo de mi padre.,es un viejo amigo de mi padre,0.9956,0.9956,-30.3948
bastante,418,adv,Ella está bastante seguro de eso.,ella está bastante seguro de eso,-0.1895,-0.1895,-34.8988
tomar,419,v,Voy a tomar el primer día.,voy a tomar el primer día,1.3130,1.3130,-25.6148
gustaría,420,v,Gustaría tener un poco más de tres.,gustaría tener un poco más de tres,-2.2288,-2.2288,-40.1440
cuánto,421,determiner,Cuánto libro es demasiado tarde para eso.,cuánto libro es demasiado tarde para eso,-3.4544,-3.4544,-43.8266
encontrar,422,v,Tengo que encontrar un buen amigo.,tengo que encontrar un buen amigo,0.9464,0.9464,-26.1400
adelante,423,adv,Adelante voy a tener que hacer algo.,adelante voy a tener que hacer algo,-1.1828,-1.1828,-37.4804
justo,424,adj,No es justo lo que ha pasado.,no es justo lo que ha pasado,1.0589,1.0589,-27.8420
sentido,425,n,El sentido está de acuerdo contigo.,el sentido está de acuerdo contigo,-0.4384,-0.4384,-35.8972
esposa,426,n,Es una esposa de mi hermano mayor.,es una esposa de mi hermano mayor,0.2775,0.2775,-34.7227
segundo,427,adj,Él es segundo a su hijo.,él es segundo a su hijo,-0.6076,-0.6076,-37.7722
grande,428,adj,Él es grande y dos veces.,él es grande y dos veces,0.0999,0.0999,-33.4530
allá,429,adv,Allá donde se me ha dicho.,allá donde se me ha dicho,-0.3011,-0.3011,-30.1524
clase,430,n,Tengo un clase de cosas que hacer.,tengo un clase de cosas que hacer,-0.3190,-0.3190,-35.5469
cual,431,pron,Ella es cual en la ciudad.,ella es cual en la ciudad,-0.5892,-0.5892,-38.8705
ante,432,prep,Estoy ante todo lo que ha hecho.,estoy ante todo lo que ha hecho,-0.3707,-0.3707,-38.2483
juego,433,n,Es un juego de hoy en día.,es un juego de hoy en día,1.7051,1.7051,-26.5471
tenido,434,v,He tenido un poco más de tiempo.,he tenido un poco más de tiempo,1.1745,1.1745,-28.5390
pensar,435,v,Voy a pensar en otra cosa.,voy a pensar en otra cosa,1.0263,1.0263,-28.3839
pueda,436,v,Pueda hacer para que pueda hacer.,pueda hacer para que pueda hacer,-1.5674,-1.5674,-33.5624
hey,437,,Hey es la mejor forma de hablar.,hey es la mejor forma de hablar,-0.2973,-0.2973,-37.2051
doctor,438,n,El doctor le dijo a sí mismo.,el doctor le dijo a sí mismo,0.9832,0.9832,-25.4907
grupo,439,n,El grupo de gente con la gente.,el grupo de gente con la gente,-0.3770,-0.3770,-30.8415
cuidado,440,n,Es un cuidado de no dejar.,es un cuidado de no dejar,0.3507,0.3507,-31.9776
suficiente,441,adj,No es suficiente para todos los días.,no es suficiente para todos los días,1.3355,1.3355,-27.0199
sangre,442,n,El sangre está un poco de agua.,el sangre está un poco de agua,-0.9490,-0.9490,-38.4755
pequeño,443,adj,Ella es pequeño en el mundo.,ella es pequeño en el mundo,-0.4307,-0.4307,-38.0486
dijiste,444,v,Tú dijiste que no me gusta mucho.,tú dijiste que no me gusta mucho,0.3342,0.3342,-30.0921
trata,445,v,Trata de una forma de hacer eso.,trata de una forma de hacer eso,-0.4612,-0.4612,-29.0185
haré,446,v,Yo haré todo lo que has hecho.,yo haré todo lo que has hecho,0.7364,0.7364,-30.7345
último,447,adj,Él es último en llegar a tiempo.,él es último en llegar a tiempo,0.0400,0.0400,-36.7976
frente,448,n,Es un frente a mi casa.,es un frente a mi casa,0.2301,0.2301,-33.4919
grandes,449,adj,Él es grandes que las mujeres.,él es grandes que las mujeres,0.1005,0.1005,-32.4143
venga,450,v,Venga a mi padre me ha dicho.,venga a mi padre me ha dicho,0.2318,0.2318,-31.5131
llama,451,v,Llama a la policía.,llama a la policía,-2.1200,-2.1200,-22.9865
noches,452,n,Es unos noches por la mañana.,es unos noches por la mañana,-1.9403,-1.9403,-44.2231
toma,453,v,Toma el que más me gusta mucho.,toma el que más me gusta mucho,-0.0891,-0.0891,-31.2707
necesita,454,v,Necesita un poco más de un año.,necesita un poco más de un año,-1.0567,-1.0567,-32.3416
debes,455,v,Debes tener en cuenta el hecho.,debes tener en cuenta el hecho,-0.0832,-0.0832,-24.6927
arriba,456,adv,Ella arriba está un poco de agua.,ella arriba está un poco de agua,-0.9929,-0.9929,-39.8992
vuelta,457,n,Es una vuelta en mi casa.,es una vuelta en mi casa,0.0942,0.0942,-33.1982
coche,458,n,Tengo un coche para ir a ver.,tengo un coche para ir a ver,0.3339,0.3339,-31.0960
tampoco,459,adv,Tampoco se nos va a estar aquí.,tampoco se nos va a estar aquí,1.3201,1.3201,-27.7637
trabajar,460,v,Voy a trabajar en un día.,voy a trabajar en un día,1.0209,1.0209,-26.9970
cuándo,461,adv,Ella está cuándo vas a estar.,ella está cuándo vas a estar,0.1724,0.1724,-33.5013
fuerte,462,adj,Él es fuerte y claro.,él es fuerte y claro,-1.1168,-1.1168,-29.3471
seguridad,463,n,La seguridad es una de mis amigos.,la seguridad es una de mis amigos,-0.9793,-0.9793,-33.2929
mas,464,,Mas que a mí me gusta mucho.,mas que a mí me gusta mucho,-1.7645,-1.7645,-42.0521
entrar,465,v,Tengo que entrar en el mismo.,tengo que entrar en el mismo,-0.4247,-0.4247,-33.0594
vivir,466,v,Quiero vivir en un lugar para vivir.,quiero vivir en un lugar para vivir,1.3955,1.3955,-28.3754
escucha,467,v,Ella escucha lo que ha pasado mucho.,ella escucha lo que ha pasado mucho,-0.3249,-0.3249,-38.0609
déjame,468,v,Déjame hablar con uno de mis amigos.,déjame hablar con uno de mis amigos,-0.4019,-0.4019,-30.4313
pueblo,469,n,Es un pueblo de a poco.,es un pueblo de a poco,0.0230,0.0230,-30.5982
hijos,470,n,Tengo unos hijos y una hija.,tengo unos hijos y una hija,-0.4604,-0.4604,-37.5093
joven,471,adj,Él es joven y una hija.,él es joven y una hija,0.7704,0.7704,-29.9920
cuanto,472,adv,Ella está cuanto se me ha hecho.,ella está cuanto se me ha hecho,-0.2013,-0.2013,-34.5935
hago,473,v,No hago más de tres años.,no hago más de tres años,0.7613,0.7613,-30.2239
escuela,474,n,La escuela está en la misma.,la escuela está en la misma,0.1460,0.1460,-28.9338
tras,475,prep,Hablo tras la muerte de su padre.,hablo tras la muerte de su padre,-0.2687,-0.2687,-39.2083
cree,476,v,Ella cree que es una buena idea.,ella cree que es una buena idea,1.0913,1.0913,-31.0111
cambio,477,n,El cambio de un lado para otro.,el cambio de un lado para otro,-0.1047,-0.1047,-29.4156
luz,478,n,Es un luz al salir de aquí.,es un luz al salir de aquí,0.1052,0.1052,-34.8003
oportunidad,479,n,Es una oportunidad de hablar con ella.,es una oportunidad de hablar con ella,0.6841,0.6841,-31.2847
fui,480,v,Yo fui el primero en llegar.,yo fui el primero en llegar,1.7989,1.7989,-24.3328
sistema,481,n,El sistema de lo que es hora.,el sistema de lo que es hora,-1.1033,-1.1033,-34.0913
embargo,482,n,Es un embargo esta en el mundo.,es un embargo esta en el mundo,-2.4761,-2.4761,-42.9247
teléfono,483,n,El teléfono estaba a punto de salir.,el teléfono estaba a punto de salir,0.9484,0.9484,-30.3807
dices,484,v,No dices nada en todo el mundo.,no dices nada en todo el mundo,0.3984,0.3984,-32.8163
seis,485,num,Tengo seis libros en la vida.,tengo seis libros en la vida,-3.8268,-3.8268,-42.4082
alto,486,adj,Él es alto y un poco.,él es alto y un poco,0.8230,0.8230,-30.0547
habla,487,v,Ella habla como si fuera un niño.,ella habla como si fuera un niño,1.2373,1.2373,-28.2314
fiesta,488,n,La fiesta fue un día para otro.,la fiesta fue un día para otro,0.5649,0.5649,-29.3378
loco,489,n,Es un loco para hacer algo.,es un loco para hacer algo,-0.3327,-0.3327,-35.2244
atrás,490,adv,Ella está atrás en el momento.,ella está atrás en el momento,-0.2804,-0.2804,-36.0120
debemos,491,v,Debemos salir de aquí a las personas.,debemos salir de aquí a las personas,-0.5732,-0.5732,-29.8859
pregunta,492,n,Tengo una pregunta a su madre.,tengo una pregunta a su madre,0.3837,0.3837,-29.3904
hacen,493,v,No hacen más que cualquier otro.,no hacen más que cualquier otro,0.6436,0.6436,-28.9153
seguir,494,v,Voy a seguir haciendo esto por mí.,voy a seguir haciendo esto por mí,0.5232,0.5232,-33.1591
quieren,495,v,No quieren hablar con la gente.,no quieren hablar con la gente,0.7407,0.7407,-27.8513
dio,496,v,Ella dio a su casa está cerca.,ella dio a su casa está cerca,0.7910,0.7910,-31.3569
paso,497,n,Es un paso la mayor parte.,es un paso la mayor parte,0.6207,0.6207,-30.8335
falta,498,n,La falta de agua en la ciudad.,la falta de agua en la ciudad,0.7292,0.7292,-30.2703
fácil,499,adj,No es fácil de hacer nada.,no es fácil de hacer nada,1.4986,1.4986,-24.4535
ido,500,v,He ido a la vez.,he ido a la vez,-0.7087,-0.7087,-25.5526
padres,501,n,Los padres son de mi padre.,los padres son de mi padre,-0.2638,-0.2638,-29.1393
vino,502,n,El vino es al mismo tiempo.,el vino es al mismo tiempo,0.8151,0.8151,-29.2747
